;name;overall;УИК №2119;УИК №2120;УИК №2121;УИК №2122;УИК №2123;УИК №2124;УИК №2125;УИК №2127;УИК №2129;УИК №2130
14;Абасалиев Марат Анверович;62.0;5;6;4;4;7;17;9;6;2;2
15;Агафонова Татьяна Борисовна;878.0;84;119;52;83;114;67;131;126;76;26
16;Азаров Игорь Владимирович;166.0;28;28;11;12;12;13;30;11;21;0
17;Алябушева Галина Васильевна;819.0;76;127;59;66;85;62;137;120;65;22
18;Богачева Ольга Ивановна;120.0;7;20;12;16;8;12;16;15;9;5
19;Бутов Иван Робертович;171.0;18;13;8;19;34;20;24;20;11;4
20;Варламов Сергей Александрович;273.0;32;42;8;42;39;21;37;21;27;4
21;Васандани Татьяна Михайловна;1021.0;160;78;51;119;120;179;101;104;99;10
22;Воронцов Александр Константинович;178.0;19;31;14;25;10;15;25;17;19;3
23;Головин Кирилл Геннадьевич;79.0;8;12;2;4;9;9;17;9;6;3
24;Кашинский Даниил Александрович;106.0;9;14;6;10;7;13;29;9;6;3
25;Красильников Владимир Александрович;904.0;137;68;51;118;100;156;76;100;92;6
26;Лебедев Дмитрий Андреевич;187.0;21;27;15;28;17;18;19;18;22;2
27;Марусева Татьяна Петровна;722.0;65;91;51;66;83;54;111;115;59;27
28;Мительман Михаил Михайлович;145.0;20;58;2;15;8;6;20;5;10;1
29;Можайцев Игорь Николаевич;665.0;58;79;45;55;78;41;106;101;79;23
30;Окорокова Людмила Александровна;243.0;34;39;16;17;30;25;34;21;22;5
31;Поданева Евгения Леонидовна;211.0;19;20;10;22;34;37;42;16;8;3
32;Соколова Ольга Игоревна;153.0;16;16;11;16;13;16;26;16;16;7
33;Стушко Михаил Михайлович;70.0;4;8;0;7;9;10;16;8;7;1
34;Тарасов Виталий Игоревич;94.0;13;6;4;11;6;6;25;11;12;0
35;Хананашвили Михаил Нодариевич;982.0;166;84;59;116;112;152;92;99;91;11
36;Хорошилов Василий Вадимович;1086.0;157;101;59;125;126;168;107;124;107;12
37;Чекун Игорь Николаевич;266.0;28;47;9;33;30;23;39;36;16;5
38;Шемякина Лидия Вадимовна;258.0;29;37;12;27;33;30;35;11;37;7
