;parameter;overall;УИК №2119;УИК №2120;УИК №2121;УИК №2122;УИК №2123;УИК №2124;УИК №2125;УИК №2127;УИК №2129;УИК №2130
1;Число избирателей, внесенных в список;19494.0;2315;2371;1483;1942;1957;1809;2472;2295;2412;438
2;Число бюллетеней, полученных участковой комиссией;14200.0;1700;1700;1100;1400;1400;1300;1800;1700;1700;400
3;Число бюллетеней, выданных избирателям в помещении для голосования;2635.0;319;343;160;273;296;321;349;278;241;55
4;Число бюллетеней, выданных избирателям, проголосовавшим досрочно;31.0;6;4;0;5;1;6;2;2;4;1
5;Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования;180.0;15;20;8;13;23;13;31;44;10;3
6;Число погашенных бюллетеней;11385.0;1366;1337;932;1114;1081;966;1420;1378;1449;342
7;Число бюллетеней в переносных ящиках для голосования;180.0;15;20;8;13;23;13;31;44;10;3
8;Число бюллетеней в стационарных ящиках для голосования;2662.0;324;346;160;278;297;325;351;280;245;56
9;Число недействительных бюллетеней;75.0;4;11;8;4;7;15;11;8;5;2
10;Число действительных бюллетеней;2767.0;335;355;160;287;313;323;371;316;250;57
11;Число утраченных бюллетеней;0.0;0;0;0;0;0;0;0;0;0;0
12;Число бюллетеней, не учтенных при получении;0.0;0;0;0;0;0;0;0;0;0;0
