;name;overall;УИК №481;УИК №482;УИК №483;УИК №484;УИК №485;УИК №486;УИК №487;УИК №488;УИК №489;УИК №499
14;Аксянова Ольга Борисовна;1061.0;121;89;89;57;137;133;106;151;94;84
15;Батов Анатолий Павлович;399.0;39;42;34;27;52;52;52;30;31;40
16;Владимирова Елена Васильевна;352.0;42;38;21;33;39;45;44;32;27;31
17;Горчаков Дмитрий Алексеевич;1093.0;88;124;104;126;89;162;105;131;66;98
18;Егоров Петр Владимирович;897.0;82;109;93;95;65;129;83;107;57;77
19;Ильина Наталья Вячеславовна;308.0;26;34;30;23;42;47;33;35;19;19
20;Козлов Александр Юрьевич;263.0;23;33;26;18;25;35;34;22;22;25
21;Кузнецова Ольга Анатольевна;440.0;34;43;41;41;48;53;60;44;33;43
22;Логинова Юлия Анатольевна;540.0;71;31;42;34;81;66;64;79;43;29
23;Мельникова Марина Николаевна;1031.0;109;72;77;76;126;169;113;121;78;90
24;Монастырская Мария Петровна;799.0;109;67;80;44;103;95;85;92;62;62
25;Найштут Григорий Владимирович;524.0;49;30;31;30;73;62;73;107;33;36
26;Обрезков Евгений Владимирович;541.0;153;41;33;37;56;40;38;61;48;34
27;Павлов Игорь Сергеевич;905.0;82;101;98;101;64;135;84;107;57;76
28;Сазонов Юрий Юрьевич;856.0;66;99;92;101;76;116;76;109;53;68
29;Сократова Татьяна Сергеевна;255.0;22;24;28;14;32;36;24;27;23;25
30;Страхов Игорь Андреевич;873.0;99;66;76;59;108;98;114;106;74;73
31;Третьяков Андрей Викторович;251.0;22;18;18;22;31;31;44;21;21;23
32;Успенский Андрей Игоревич;225.0;22;20;14;22;26;34;32;16;19;20
33;Хамидулин Эрик Артурович;106.0;21;9;3;6;15;13;9;10;14;6
34;Черненко Татьяна Павловна;819.0;66;153;120;95;70;80;73;80;45;37
35;Чупраков Руслан Азамович;109.0;17;15;4;7;13;13;5;9;14;12
36;Шабуров Рафик Исхакович;800.0;93;71;62;42;116;112;93;91;59;61
37;Шнейд-Миллер Лита Константиновна;103.0;14;6;6;6;16;15;11;7;15;7
38;Якушев Александр Петрович;550.0;56;38;37;39;77;64;76;81;44;38
