;name;overall;УИК №510;УИК №511;УИК №512;УИК №513
14;Александрова Ирина Сергеевна;212.0;52;53;51;56
15;Бакулин Сергей Григорьевич;155.0;51;37;31;36
16;Белобоков Илья Дмитриевич;163.0;54;32;38;39
17;Брои Мураз Теймуразович;43.0;11;6;16;10
18;Будюкина Светлана Владимировна;354.0;148;57;60;89
19;Васильев Александр Михайлович;164.0;40;50;30;44
20;Васильева Елена Юрьевна;302.0;133;46;56;67
21;Давыдова Галина Петровна;571.0;191;117;122;141
22;Корышев Сергей Валентинович;565.0;142;129;144;150
23;Марковцева Ольга Николаевна;540.0;174;117;129;120
24;Молочко Александр Михайлович;82.0;26;18;22;16
25;Морозов Сергей Геннадьевич;397.0;90;99;103;105
26;Стадник Юлия Олеговна;315.0;95;64;66;90
27;Фоменко Олег Васильевич;146.0;55;33;36;22
28;Хирин Сергей Викторович;128.0;56;28;22;22
29;Шнейд-Миллер Лита Константиновна;67.0;26;12;16;13
