;name;overall;УИК №3;УИК №4;УИК №5;УИК №6;УИК №9
14;Асташев Максим Александрович;502.0;48;132;137;90;95
15;Ашихмина Марина Викторовна;172.0;3;7;6;2;154
16;Бабенко Евгений Петрович;824.0;37;143;143;69;432
17;Барзунова Мария Александровна;225.0;11;17;12;6;179
18;Бобруль Владимир Иванович;561.0;18;77;95;48;323
19;Бушуева Марина Вячеславна;154.0;10;22;9;12;101
20;Варников Илья Вадимович;456.0;47;135;120;90;64
21;Варшавская Наталья Викторовна;290.0;33;49;43;41;124
22;Воропаев Александр Анатольевич;454.0;48;131;125;84;66
23;Горбачев Сергей Сергеевич;510.0;51;140;139;85;95
24;Греков Александр Александрович;227.0;8;18;37;20;144
25;Гриценко Виктор Борисович;214.0;17;39;47;25;86
26;Дейнега Олеся Владимировна;127.0;4;8;7;8;100
27;Жигачев Василий Маратович;220.0;25;35;41;22;97
28;Жихарева Светлана Александровна;223.0;7;29;35;27;125
29;Илларионова Ольга Андреевна;115.0;5;5;5;1;99
30;Кондратьева Марина Всеволодовна;350.0;39;77;72;37;125
31;Кудряков Игорь Владимирович;164.0;8;18;20;26;92
32;Кудряшов Георгий Валентинович;175.0;11;25;17;15;107
33;Лазарев Александр Анатольевич;507.0;18;84;102;50;253
34;Лисюненко Ираклий Сергеевич;80.0;12;12;9;5;42
35;Лысенков Юрий Алексеевич;256.0;17;40;35;23;141
36;Любченко Дмитрий Аркадьевич;131.0;4;7;15;10;95
37;Павлова Ольга Анатольевна;111.0;8;15;11;4;73
38;Платова Ольга Георгиевна;105.0;9;18;3;4;71
39;Полегаева Ирина Леонардовна;442.0;18;76;56;45;247
40;Поляков Роман Николаевич;189.0;12;27;21;11;118
41;Потеряйко Сергей Николаевич;176.0;8;28;28;26;86
42;Примак Сергей Владимирович;140.0;7;12;30;18;73
43;Разговоров Дмитрий Николаевич;80.0;1;8;6;7;58
44;Соловьева Галина Николаевна;370.0;46;99;106;71;48
45;Ткачук Мария Евгеньевна;105.0;0;22;5;12;66
46;Фатеев Александр Владимирович;106.0;4;6;5;2;89
47;Халиуллин Руслан Рустамович;91.0;2;7;8;3;71
48;Шаманин Владимир Сергеевич;652.0;23;148;70;53;358
49;Шереметьева Юлия Андреевна;135.0;8;9;5;3;110
