;parameter;overall;УИК №1;УИК №2;УИК №7;УИК №8
1;Число избирателей, внесенных в список;7277.0;1805;2078;1742;1652
2;Число бюллетеней, полученных участковой комиссией;5300.0;1300;1500;1300;1200
3;Число бюллетеней, выданных избирателям в помещении для голосования;1513.0;371;365;403;374
4;Число бюллетеней, выданных избирателям, проголосовавшим досрочно;32.0;9;5;8;10
5;Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования;86.0;28;16;17;25
6;Число погашенных бюллетеней;3701.0;901;1119;880;801
7;Число бюллетеней в переносных ящиках для голосования;86.0;28;16;17;25
8;Число бюллетеней в стационарных ящиках для голосования;1543.0;378;370;411;384
9;Число недействительных бюллетеней;31.0;9;6;10;6
10;Число действительных бюллетеней;1598.0;397;380;418;403
11;Число утраченных бюллетеней;0.0;0;0;0;0
12;Число бюллетеней, не учтенных при получении;0.0;0;0;0;0
