;name;overall;УИК №188;УИК №189;УИК №190;УИК №200;УИК №201;УИК №202;УИК №206
14;Балановский Леонид Игоревич;1004.0;187;104;151;120;99;223;120
15;Буткова Светлана Львовна;828.0;140;114;116;124;143;37;154
16;Комарова Светлана Вячеславовна;716.0;104;109;98;109;129;28;139
17;Крель Анна Анатольевна;282.0;41;26;67;53;20;35;40
18;Луговская Елена Константиновна;906.0;190;85;149;117;87;156;122
19;Ляпина Виктория Германовна;247.0;50;21;38;50;32;18;38
20;Марусев Александр Сергеевич;344.0;72;50;52;43;35;29;63
21;Недышилов Анатолий Геннадьевич;625.0;95;110;89;91;109;25;106
22;Никонов Кирилл Владимирович;766.0;126;118;111;114;138;32;127
23;Сергеев Алексей Михайлович;249.0;34;23;46;30;26;46;44
24;Суркова Людмила Александровна;314.0;55;38;55;46;35;15;70
25;Федулов Роман Петрович;108.0;17;8;16;18;19;5;25
26;Хвалько Денис Тимурович;234.0;37;14;35;38;46;15;49
27;Щедроткина Светлана Вячеславовна;280.0;61;19;42;47;39;38;34
28;Щербаченко Анна Адольфовна;875.0;202;79;139;115;82;150;108
29;Ярилин Павел Анатольевич;983.0;205;99;151;135;96;164;133
