;parameter;overall;УИК №188;УИК №189;УИК №190;УИК №200;УИК №201;УИК №202;УИК №206
1;Число избирателей, внесенных в список;14108.0;2546;1298;2312;2065;2025;1432;2430
2;Число бюллетеней, полученных участковой комиссией;10700.0;1800;1000;1650;2050;1450;1000;1750
3;Число бюллетеней, выданных избирателям в помещении для голосования;2409.0;435;263;344;346;340;297;384
4;Число бюллетеней, выданных избирателям, проголосовавшим досрочно;0.0;0;0;0;0;0;0;0
5;Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования;129.0;33;9;28;17;8;0;34
6;Число погашенных бюллетеней;8162.0;1332;728;1278;1687;1102;703;1332
7;Число бюллетеней в переносных ящиках для голосования;129.0;33;9;28;17;8;0;34
8;Число бюллетеней в стационарных ящиках для голосования;2407.0;435;263;343;346;339;297;384
9;Число недействительных бюллетеней;56.0;10;3;5;13;13;3;9
10;Число действительных бюллетеней;2480.0;458;269;366;350;334;294;409
11;Число утраченных бюллетеней;0.0;0;0;0;0;0;0;0
12;Число бюллетеней, не учтенных при получении;0.0;0;0;0;0;0;0;0
