;name;overall;УИК №191;УИК №192;УИК №199;УИК №203;УИК №204;УИК №205
14;Аставина Александра Владимировна;253.0;30;65;50;36;33;39
15;Бессмертнов Андрей Александрович;132.0;22;19;23;20;23;25
16;Болотов Олег Парамонович;635.0;82;201;104;77;75;96
17;Бутенко Филипп Владимирович;90.0;11;16;17;15;15;16
18;Валиуллова Марина Равильевна;678.0;90;156;108;90;98;136
19;Гаджиев Ильгар Гумбат оглы;135.0;14;24;20;19;21;37
20;Дьячков Роман Михайлович;473.0;80;93;53;85;74;88
21;Закаблуковская Юлия Валерьевна;940.0;120;265;174;138;119;124
22;Камерфукс Мила Александровна;587.0;66;176;113;107;59;66
23;Камышева Надежда Алексеевна;216.0;31;37;43;33;36;36
24;Князев Дмитрий Алексеевич;953.0;232;144;62;213;171;131
25;Куренков Максим Сергеевич;211.0;28;39;46;37;33;28
26;Макаров Сергей Сергеевич;85.0;11;10;13;13;18;20
27;Новиков Геннадий Владимирович;712.0;88;222;147;107;69;79
28;Рыбальченко Елена Александровна;618.0;67;144;114;95;94;104
29;Савина Ненель Васильевна;205.0;25;80;24;28;22;26
30;Синегубова Юлия Николаевна;220.0;40;40;21;24;39;56
31;Смольев Владимир Валерьевич;82.0;8;16;20;10;19;9
32;Соболев Алексей Владимирович;185.0;17;26;24;41;41;36
33;Соколова Татьяна Васильевна;765.0;102;160;124;132;116;131
34;Терехова Ирина Викторовна;105.0;18;19;13;16;17;22
35;Тюренков Александр Вячеславович;251.0;25;62;68;31;31;34
36;Царьков Владислав Сергеевич;253.0;26;31;33;23;44;96
37;Черноуцан Николай Алексеевич;642.0;72;204;122;100;75;69
38;Щербина Иван Анатольевич;268.0;71;47;46;26;40;38
39;Якутин Евгений Федорович;280.0;41;72;40;60;37;30
