;name;overall;УИК №514;УИК №519;УИК №520;УИК №522;УИК №523;УИК №529;УИК №530;УИК №531;УИК №532;УИК №534;УИК №535;УИК №538
14;Алексашкин Петр Михайлович;606.0;68;56;48;44;59;42;60;55;52;43;36;43
15;Алексеева Татьяна Ивановна;1315.0;126;117;100;106;135;105;102;141;121;113;79;70
16;Архангельская Антонина Алексеевна;952.0;107;118;95;90;99;80;64;80;40;60;92;27
17;Белова Надежда Сергеевна;1316.0;120;113;104;96;124;106;104;148;127;116;81;77
18;Бурнашев Тимур Ринатович;852.0;80;95;62;75;76;70;55;102;79;71;50;37
19;Дёмин Валерий Викторович;1032.0;97;106;78;83;90;90;78;118;89;83;64;56
20;Енютин Артём Сергеевич;250.0;29;15;21;17;26;30;14;22;20;19;21;16
21;Жуков Николай Николаевич;253.0;37;20;20;13;23;30;27;17;13;14;21;18
22;Киселёва Елена Вячеславовна;975.0;85;100;81;83;75;87;83;105;89;75;52;60
23;Корытов Антон Юрьевич;666.0;61;65;56;65;56;55;71;51;43;46;60;37
24;Ланкин Вячеслав Михайлович;756.0;96;94;69;71;82;70;47;55;32;48;70;22
25;Лихачев Алексей Александрович;305.0;32;28;27;14;34;26;28;16;20;23;34;23
26;Лошкарёв Вячеслав Васильевич;306.0;45;35;23;22;31;20;26;15;20;24;24;21
27;Морозова Татьяна Леонидовна;503.0;46;46;46;41;48;37;50;49;33;35;34;38
28;Назарьев Иван Юрьевич;390.0;26;33;36;31;24;24;59;37;35;30;36;19
29;Никитин Игорь Георгиевич;454.0;37;45;37;38;47;37;36;39;30;36;40;32
30;Пирадова Ольга Александровна;870.0;105;121;82;76;95;76;67;70;36;48;72;22
31;Рудакова Светлана Александровна;221.0;24;15;25;15;20;17;20;16;18;14;16;21
32;Сайганова Наталья Борисовна;341.0;41;33;71;41;18;25;21;24;12;27;21;7
33;Хубенов Максим Севдалинович;172.0;20;9;11;22;16;13;19;14;9;13;11;15
34;Щиголев Иван Николаевич;570.0;51;48;56;44;48;39;41;45;43;45;73;37
