;name;overall;УИК №19;УИК №20;УИК №22;УИК №23;УИК №24;УИК №25;УИК №26;УИК №27;УИК №28;УИК №29
14;Аляутдинов Ринат Рафикович;190.0;14;10;19;30;20;16;24;12;23;22
15;Аничкин Геннадий Викторович;1001.0;104;52;80;135;75;123;147;79;70;136
16;Бондарь Вероника Михайловна;990.0;98;52;67;140;77;130;135;71;83;137
17;Буряков Сергей Вадимович;301.0;36;21;33;42;21;37;40;13;25;33
18;Герасимов Антон Павлович;878.0;166;59;119;108;45;71;116;56;60;78
19;Гизатулина Марина Александровна;900.0;155;56;132;121;52;67;127;47;61;82
20;Егоркин Алексей Викторович;507.0;56;28;47;70;76;45;62;26;54;43
21;Емельянов Кирилл Сергеевич;484.0;69;29;56;57;37;53;68;31;36;48
22;Ершова Любовь Анатольевна;180.0;18;7;16;31;22;21;26;13;16;10
23;Косоротов Сергей Александрович;223.0;20;9;16;38;22;30;41;10;20;17
24;Кроленко Александр Павлович;319.0;24;21;22;62;30;36;48;18;27;31
25;Кулишова Наталья Викторовна;176.0;14;8;19;24;27;21;19;10;12;22
26;Митин Алексей Петрович;94.0;11;4;6;15;8;15;9;7;3;16
27;Насонов Михаил Валерьевич;323.0;24;14;30;58;30;43;48;20;22;34
28;Павлов Евгений Вячеславович;163.0;23;7;17;20;9;32;20;9;2;24
29;Петрунин Виктор Дмитриевич;743.0;136;48;114;90;44;57;100;40;52;62
30;Плясов Александр Анатольевич;158.0;15;11;15;29;10;20;23;9;11;15
31;Пономаренко Сергей Викторович;162.0;15;7;15;32;16;16;23;11;7;20
32;Попов Дмитрий Игоревич;850.0;97;52;67;130;59;101;108;59;72;105
33;Прокшин Никита Владимирович;118.0;6;6;11;16;23;13;13;7;6;17
34;Ремизова Евгения Михайловна;967.0;171;55;144;123;65;70;132;57;69;81
35;Сафронов Виталий Викторович;132.0;17;10;11;18;9;14;17;10;8;18
36;Томченко Максим Андреевич;78.0;3;7;5;26;5;7;7;4;8;6
37;Фомичева Юлия Александровна;991.0;90;43;59;155;78;106;132;111;105;112
38;Шеметов Сергей Александрович;283.0;32;12;37;49;24;33;34;10;15;37
