;parameter;overall;УИК №19;УИК №20;УИК №22;УИК №23;УИК №24;УИК №25;УИК №26;УИК №27;УИК №28;УИК №29
1;Число избирателей, внесенных в список;19513.0;2477;1201;2062;2367;1624;1920;2488;1358;1318;2698
2;Число бюллетеней, полученных участковой комиссией;14190.0;1770;870;1520;1700;1170;1550;1800;960;930;1920
3;Число бюллетеней, выданных избирателям в помещении для голосования;3153.0;375;173;319;447;262;348;417;226;243;343
4;Число бюллетеней, выданных избирателям, проголосовавшим досрочно;27.0;4;1;4;5;1;3;4;0;1;4
5;Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования;186.0;32;8;11;38;12;22;31;8;14;10
6;Число погашенных бюллетеней;10851.0;1363;689;1190;1215;896;1180;1352;726;673;1567
7;Число бюллетеней в переносных ящиках для голосования;185.0;32;8;11;38;12;22;31;8;13;10
8;Число бюллетеней в стационарных ящиках для голосования;3174.0;378;174;322;452;262;349;420;226;244;347
9;Число недействительных бюллетеней;75.0;8;6;3;11;5;11;18;2;4;7
10;Число действительных бюллетеней;3284.0;402;176;330;479;269;360;433;232;253;350
11;Число утраченных бюллетеней;0.0;0;0;0;0;0;0;0;0;0;0
12;Число бюллетеней, не учтенных при получении;0.0;0;0;0;0;0;0;0;0;0;0
