;name;overall;УИК №207;УИК №208;УИК №209;УИК №210;УИК №211
14;Беликов Егор Сергеевич;516.0;114;101;92;128;81
15;Белобородова Ольга Валентиновна;86.0;16;20;12;13;25
16;Брусс Владимир Александрович;137.0;34;23;20;29;31
17;Васильев Николай Андреевич;329.0;48;55;35;94;97
18;Гладкин Юрий Алексеевич;38.0;9;1;7;7;14
19;Гончарова Татьяна Всеволодовна;330.0;59;142;29;44;56
20;Довгалёв Никита Сергеевич;511.0;112;107;88;120;84
21;Игнатов Александр Сергеевич;613.0;162;127;82;108;134
22;Ищенко Алла Анатольевна;70.0;21;4;13;14;18
23;Калашникова Юлия Михайловна;232.0;40;56;53;54;29
24;Колесников Борис Анатольевич;549.0;119;96;91;130;113
25;Кондратьева Светлана Алексеевна;632.0;180;147;80;84;141
26;Коэн Наталия Альбертовна;747.0;249;128;120;124;126
27;Кривень Елена Александровна;572.0;115;128;95;142;92
28;Куцкевич Анастасия Антоновна;37.0;10;7;5;3;12
29;Лихонина Анна Андреевна;51.0;11;8;8;15;9
30;Лихонина Ирина Анатольевна;131.0;34;22;27;28;20
31;Лосев Никита Валерьевич;644.0;156;129;93;105;161
32;Михайлович Игорь Давидович;132.0;27;33;28;17;27
33;Мухаметов Эдуард Ильгисович;51.0;20;4;11;8;8
34;Новикова Ольга Алексеевна;104.0;18;10;25;20;31
35;Панова Мария Викторовна;47.0;12;7;7;8;13
36;Петров Олег Александрович;127.0;40;16;22;28;21
37;Почитаев Олег Иванович;289.0;48;55;35;97;54
38;Ростунов Михаил Алексеевич;42.0;8;7;17;3;7
39;Салтыков Анатолий Михайлович;193.0;34;52;29;40;38
40;Скрипейчук Владимир Богданович;119.0;16;16;48;14;25
41;Сороколетов Сергей Михайлович;944.0;287;174;145;164;174
42;Сучкова Елена Андреевна;76.0;21;12;13;15;15
43;Филиппов Александр Леонидович;218.0;15;23;13;43;124
44;Чайка Елена Валерьевна;124.0;36;16;13;34;25
45;Шевченко Вячеслав Андреевич;43.0;9;10;6;8;10
