;parameter;overall;УИК №212;УИК №213;УИК №214;УИК №215;УИК №216;УИК №217
1;Число избирателей, внесенных в список;11906.0;1022;2148;2249;2167;2148;2172
2;Число бюллетеней, полученных участковой комиссией;8800.0;800;1600;1600;1600;1600;1600
3;Число бюллетеней, выданных избирателям в помещении для голосования;1847.0;158;317;325;319;310;418
4;Число бюллетеней, выданных избирателям, проголосовавшим досрочно;52.0;8;10;6;10;6;12
5;Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования;79.0;7;13;16;16;13;14
6;Число погашенных бюллетеней;6874.0;635;1270;1259;1265;1277;1168
7;Число бюллетеней в переносных ящиках для голосования;79.0;7;13;16;16;13;14
8;Число бюллетеней в стационарных ящиках для голосования;1895.0;166;325;331;327;316;430
9;Число недействительных бюллетеней;68.0;6;12;18;8;10;14
10;Число действительных бюллетеней;1906.0;167;326;329;335;319;430
11;Число утраченных бюллетеней;0.0;0;0;0;0;0;0
12;Число бюллетеней, не учтенных при получении;0.0;0;0;0;0;0;0
