;parameter;overall;УИК №219;УИК №220;УИК №221;УИК №222;УИК №223;УИК №224;УИК №225;УИК №226;УИК №227;УИК №228;УИК №229
1;Число избирателей, внесенных в список;25907.0;386;2865;2760;2902;2970;2820;2601;2006;2291;2168;2138
2;Число бюллетеней, полученных участковой комиссией;17660.0;260;1900;1900;2000;2000;1900;1800;1400;1600;1500;1400
3;Число бюллетеней, выданных избирателям в помещении для голосования;2791.0;30;320;206;460;405;350;231;175;230;177;207
4;Число бюллетеней, выданных избирателям, проголосовавшим досрочно;24.0;0;8;1;5;1;4;1;2;0;2;0
5;Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования;233.0;0;26;17;30;27;20;32;9;28;18;26
6;Число погашенных бюллетеней;14636.0;230;1554;1677;1510;1568;1530;1537;1216;1342;1305;1167
7;Число бюллетеней в переносных ящиках для голосования;233.0;0;26;17;30;27;20;32;9;28;18;26
8;Число бюллетеней в стационарных ящиках для голосования;2814.0;30;328;207;465;406;353;232;177;230;179;207
9;Число недействительных бюллетеней;110.0;0;11;6;9;33;13;10;6;8;6;8
10;Число действительных бюллетеней;2937.0;30;343;218;486;400;360;254;180;250;191;225
11;Число утраченных бюллетеней;0.0;0;0;0;0;0;0;0;0;0;0;0
12;Число бюллетеней, не учтенных при получении;0.0;0;0;0;0;0;0;0;0;0;0;0
