;name;overall;УИК №218;УИК №230;УИК №231;УИК №232;УИК №233;УИК №234;УИК №235;УИК №236;УИК №237;УИК №238
14;Бочковар Алина Сергеевна;256.0;40;19;21;24;19;25;24;35;25;24
15;Галенкина Майя Александровна;279.0;43;25;25;25;19;38;20;36;32;16
16;Дорофеева Елена Олеговна;1197.0;153;68;79;104;123;110;102;174;145;139
17;Кальницкая Кристина Геннадьевна;514.0;86;40;41;45;54;50;41;54;81;22
18;Кириллова Людмила Мирославовна;1308.0;164;67;81;99;165;182;105;182;130;133
19;Кузнецов Алексей Анатольевич;1111.0;154;72;66;76;103;111;85;171;133;140
20;Мартищенков Вадим Викторович;305.0;41;37;21;20;44;27;29;30;34;22
21;Маруненков Сергей Павлович;223.0;38;20;10;17;30;27;16;22;28;15
22;Мокроусова Наталья Викторовна;1101.0;146;52;68;78;119;103;109;163;132;131
23;Пачеко-Рейнага Антони Хосевич;151.0;26;12;11;7;7;14;20;17;17;20
24;Петров Юрий Викторович;205.0;24;15;19;13;23;23;17;20;33;18
25;Ромашкова Альбина Фаильевна;267.0;48;20;21;22;42;16;29;37;27;5
26;Смирнов Евгений Владимирович;275.0;28;25;20;13;51;26;32;24;35;21
27;Смирнова Валентина Анатольевна;299.0;22;21;27;31;41;29;33;44;36;15
28;Смирнова Ирина Анатольевна;251.0;23;15;24;17;42;21;29;35;25;20
29;Смирнова Ирина Артемовна;140.0;26;11;11;5;31;14;11;12;15;4
30;Сорсоров Иван Романович;332.0;67;24;32;21;33;31;24;42;50;8
31;Томенюк Мария Василевна;134.0;28;5;11;7;15;14;4;21;14;15
32;Шестаков Александр Владимирович;1146.0;148;50;65;68;134;147;83;173;115;163
33;Щеглов Петр Алексеевич;324.0;54;34;18;27;46;29;31;29;31;25
