;name;overall;УИК №539;УИК №540;УИК №541;УИК №542;УИК №566;УИК №567;УИК №573;УИК №574;УИК №575;УИК №577;УИК №578;УИК №579;УИК №580;УИК №581
14;Аверкиев Андрей Васильевич;827.0;57;69;55;49;102;59;46;69;57;53;27;56;79;49
15;Багина Дарья Александровна;512.0;41;32;58;50;33;27;29;36;30;32;32;33;38;41
16;Белов Владимир Викторович;656.0;50;64;45;44;73;40;33;53;48;46;29;49;45;37
17;Воробьева Яна Владимировна;1493.0;107;108;157;156;71;88;92;94;102;91;135;89;130;73
18;Воскресенская Дарья Валерьевна;470.0;43;31;49;46;38;29;20;36;30;29;31;31;32;25
19;Ганич Денис Сергеевич;263.0;18;28;20;15;14;17;21;14;24;24;19;12;24;13
20;Добрынин Сергей Александрович;325.0;28;23;28;44;14;17;22;27;26;21;21;16;22;16
21;Крахмалева Алёна Александровна;386.0;40;27;38;33;31;21;20;25;29;31;21;18;25;27
22;Кузнецов Василий Юрьевич;774.0;66;67;53;49;77;47;35;59;57;53;41;64;60;46
23;Кутьин Олег Александрович;327.0;31;24;32;22;27;20;14;22;20;24;20;21;25;25
24;Лазарев Аркадий Васильевич;344.0;28;32;30;33;17;25;27;29;22;17;19;20;25;20
25;Макаренкова Ольга Евгеньевна;1652.0;118;144;186;179;83;99;94;102;135;105;109;87;146;65
26;Мкртичян Андраник Арамович;254.0;24;22;17;22;15;16;14;17;16;16;10;24;20;21
27;Островский Михаил Александрович;1426.0;103;104;141;137;64;65;86;93;100;81;194;83;116;59
28;Паршин Игорь Олегович;1723.0;99;123;173;211;67;88;99;120;144;122;120;126;161;70
29;Патрикеева Ирина Джолдошевна;1473.0;80;125;136;158;69;76;88;94;92;85;91;122;174;83
30;Рудакова Елена Александровна;390.0;29;37;39;27;15;23;37;33;32;25;24;16;35;18
31;Смирнова Надежда Евгеньевна;495.0;38;53;49;26;29;28;43;47;27;35;35;28;32;25
32;Стекольникова Мария Витальевна;361.0;30;23;16;22;18;24;27;41;24;20;12;22;41;41
33;Сумихина Татьяна Евгеньевна;595.0;55;51;34;27;60;35;41;46;44;48;31;41;43;39
34;Шильников Михаил Александрович;418.0;21;32;35;31;28;20;50;33;32;21;17;27;33;38
35;Ястребов Вадим Борисович;289.0;25;31;24;17;12;14;28;29;21;12;11;15;29;21
