;name;overall;УИК №543;УИК №544;УИК №545;УИК №546;УИК №547;УИК №548;УИК №549;УИК №550;УИК №551;УИК №552;УИК №553;УИК №556;УИК №557;УИК №558;УИК №559
14;Андрианова Мария Петровна;1447.0;102;119;95;110;114;108;118;70;65;96;101;79;80;91;99
15;Билявская Ольга Станиславовна;1466.0;101;118;95;124;121;99;105;72;72;104;94;70;83;101;107
16;Брои Мураз Теймуразович;444.0;11;28;18;23;15;11;20;12;59;132;31;14;12;22;36
17;Бузин Владимир Владимирович;649.0;49;55;50;77;35;41;33;54;33;31;52;37;31;30;41
18;Вага Александр Юрьевич;639.0;29;48;38;48;42;20;29;43;105;64;53;15;30;30;45
19;Волощенко Оксана Витальевна;1117.0;80;89;82;88;88;77;95;64;44;67;76;53;61;84;69
20;Евстигнеев Андрей Юрьевич;301.0;16;21;20;22;15;21;22;18;26;18;28;20;16;14;24
21;Журавлёв Сергей Михайлович;428.0;37;31;23;35;29;14;28;24;36;29;24;28;31;23;36
22;Кавинин Евгений Михайлович;533.0;54;39;33;34;23;26;26;44;36;34;60;40;27;28;29
23;Комаричев Никита Михайлович;421.0;11;19;15;48;11;17;22;7;37;78;43;23;28;28;34
24;Кравченко Татьяна Алексеевна;370.0;18;19;15;64;19;20;20;20;24;26;36;24;16;25;24
25;Куричин Александр Константинович;344.0;30;34;23;33;22;13;17;21;23;16;21;17;29;13;32
26;Леонтьев Вадим Кириллович;304.0;31;18;16;18;24;12;13;23;17;21;25;19;26;22;19
27;Лоздовская Людмила Васильевна;1012.0;74;85;64;88;76;73;86;55;50;52;73;52;47;77;60
28;Малушкова Кристина Сергеевна;265.0;20;21;10;20;21;19;20;19;19;17;15;11;25;11;17
29;Невский Михаил Александрович;349.0;13;20;14;41;16;17;16;13;28;26;39;35;25;22;24
30;Никитенко Елена Александровна;901.0;71;55;46;57;61;46;47;56;89;113;63;43;45;50;59
31;Никифорова Елена Николаевна;1124.0;76;81;75;94;105;90;99;46;60;61;100;47;56;79;55
32;Подтетенев Алексей Андреевич;194.0;18;13;11;22;10;12;8;8;12;14;9;14;18;13;12
33;Распопова Ольга Павловна;203.0;9;12;12;15;10;13;12;14;16;16;13;16;16;18;11
34;Рощупкин Дмитрий Дмитриевич;192.0;15;15;10;20;10;7;12;8;15;15;15;10;19;6;15
35;Рудакова Светлана Александровна;358.0;14;30;32;52;16;39;17;19;18;14;24;22;8;29;24
36;Смирнов Евгений Александрович;406.0;29;25;25;34;19;20;14;32;57;22;33;16;25;27;28
37;Таньков Николай Михайлович;458.0;44;42;34;31;22;25;19;36;12;28;45;33;23;26;38
