;parameter;overall;УИК №543;УИК №544;УИК №545;УИК №546;УИК №547;УИК №548;УИК №549;УИК №550;УИК №551;УИК №552;УИК №553;УИК №556;УИК №557;УИК №558;УИК №559
1;Число избирателей, внесенных в список;33012.0;2714;2434;2031;2522;2387;2326;2115;2124;1978;2288;2515;1616;1691;2112;2159
2;Число бюллетеней, полученных участковой комиссией;23750.0;2000;1750;1500;1800;1700;1700;1500;1500;1400;1650;1800;1200;1200;1500;1550
3;Число бюллетеней, выданных избирателям в помещении для голосования;3749.0;266;282;241;315;247;242;205;212;266;378;269;182;190;223;231
4;Число бюллетеней, выданных избирателям, проголосовавшим досрочно;31.0;3;4;0;2;0;1;2;1;0;6;3;0;2;3;4
5;Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования;297.0;26;41;14;25;29;6;16;11;13;12;22;20;20;21;21
6;Число погашенных бюллетеней;19704.0;1708;1427;1245;1460;1424;1452;1279;1277;1121;1260;1509;998;990;1256;1298
7;Число бюллетеней в переносных ящиках для голосования;297.0;26;41;14;25;29;6;16;11;13;12;22;20;20;21;21
8;Число бюллетеней в стационарных ящиках для голосования;3726.0;269;241;241;317;242;241;205;213;266;384;272;182;192;226;235
9;Число недействительных бюллетеней;190.0;14;16;17;17;11;19;12;6;7;18;13;8;13;8;11
10;Число действительных бюллетеней;3833.0;281;266;238;325;260;228;209;218;272;378;281;194;199;239;245
11;Число утраченных бюллетеней;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12;Число бюллетеней, не учтенных при получении;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
