;parameter;overall;УИК №1659;УИК №1660;УИК №1661;УИК №1672;УИК №1673;УИК №1674;УИК №1675;УИК №1676;УИК №1677;УИК №1680;УИК №1681;УИК №1682;УИК №1683;УИК №1685
1;Число избирателей, внесенных в список;30589.0;1784;2117;2174;2114;2173;2006;2248;2007;2438;2188;2039;2399;1856;3046
2;Число бюллетеней, полученных участковой комиссией;22300.0;1300;1500;1600;1500;1600;1500;1600;1500;1800;1600;1500;1700;1400;2200
3;Число бюллетеней, выданных избирателям в помещении для голосования;2819.0;154;184;191;231;173;164;201;159;179;182;214;312;178;297
4;Число бюллетеней, выданных избирателям, проголосовавшим досрочно;20.0;1;0;2;2;1;0;3;1;6;0;0;4;0;0
5;Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования;280.0;11;20;11;15;8;23;29;38;21;25;14;21;27;17
6;Число погашенных бюллетеней;19201.0;1135;1296;1398;1254;1419;1313;1370;1303;1600;1393;1272;1367;1195;1886
7;Число бюллетеней в переносных ящиках для голосования;280.0;11;20;11;15;8;23;29;38;21;25;14;21;27;17
8;Число бюллетеней в стационарных ящиках для голосования;2834.0;154;184;193;233;174;164;204;160;184;182;211;316;178;297
9;Число недействительных бюллетеней;141.0;5;17;11;9;9;8;7;10;8;12;7;15;9;14
10;Число действительных бюллетеней;2973.0;160;187;193;239;173;179;226;188;197;195;218;322;196;300
11;Число утраченных бюллетеней;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12;Число бюллетеней, не учтенных при получении;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
