;name;overall;УИК №1678;УИК №1679;УИК №1684;УИК №1686;УИК №1687;УИК №1688;УИК №1689;УИК №1690;УИК №1691;УИК №1692;УИК №1693;УИК №1694;УИК №1695;УИК №3421
14;Алиуллова Альфия Тагировна;187.0;22;18;12;10;14;3;14;22;16;8;11;13;10;14
15;Андреев Александр Юрьевич;230.0;20;22;13;19;11;8;13;28;19;12;26;11;8;20
16;Вдовин Алексей Олегович;259.0;34;24;18;17;14;8;13;30;15;15;18;18;20;15
17;Вольнов Павел Александрович;208.0;20;21;11;20;10;6;27;28;13;15;13;7;6;11
18;Голубцова Людмила Сергеевна;256.0;24;27;17;15;18;10;15;28;17;17;10;19;18;21
19;Гречихина Наталья Евгеньевна;210.0;19;22;9;17;11;8;21;26;14;10;17;11;13;12
20;Демидов Максим Александрович;228.0;27;28;12;18;13;7;21;23;16;12;13;3;17;18
21;Драгун Алиса Владимировна;414.0;47;30;13;34;21;8;17;36;35;43;44;22;46;18
22;Елисеев Игорь Сергеевич;245.0;18;26;19;22;12;4;7;18;21;31;16;14;20;17
23;Клементьев Илья Евгеньевич;176.0;22;13;10;34;8;6;5;11;8;6;12;11;13;17
24;Кутайсова Наталья Викторовна;1522.0;92;100;69;119;138;87;116;131;104;115;124;158;85;84
25;Лазарев Филипп Вячеславович;342.0;35;23;14;94;15;6;15;29;20;21;24;10;13;23
26;Лапшина Татьяна Васильевна;1320.0;98;99;63;122;144;86;85;98;70;98;103;120;59;75
27;Ловыгина Светлана Николаевна;220.0;32;23;7;15;13;11;12;21;19;10;11;12;19;15
28;Лылова Марина Владимировна;165.0;22;19;3;15;11;4;6;15;12;15;11;13;5;14
29;Маслов Павел Викторович;395.0;53;58;25;48;25;14;20;28;16;25;17;13;16;37
30;Медведев Александр Константинович;332.0;30;27;16;30;13;10;31;29;32;20;24;22;23;25
31;Медведева Галина Юрьевна;233.0;25;25;14;18;10;9;13;18;16;12;15;17;21;20
32;Морозов Олег Евгеньевич;249.0;30;27;12;20;19;5;9;29;20;15;15;10;11;27
33;Подхватилин Максим Владимирович;181.0;19;19;12;13;13;5;9;21;10;11;13;10;13;13
34;Рзаев Рустам Алиевич;61.0;5;9;2;2;8;0;7;5;6;5;5;5;0;2
35;Романова Светлана Владимировна;186.0;27;19;11;16;18;2;5;12;11;16;11;13;12;13
36;Рытов Сергей Владимирович;1258.0;83;97;56;108;130;89;81;98;77;91;87;115;64;82
37;Рязанцев Александр Васильевич;228.0;24;15;11;22;15;9;20;16;13;19;11;14;14;25
38;Хнычков Сергей Святославович;211.0;18;15;10;13;18;6;19;27;16;14;17;9;18;11
39;Хрунов Леонид Григорьевич;1352.0;89;109;51;124;141;86;94;107;73;91;97;127;75;88
40;Шлякова Елена Николаевна;1587.0;109;117;61;185;198;106;94;112;81;90;111;131;71;121
