;name;overall;УИК №1705;УИК №1708;УИК №1709;УИК №1710;УИК №1711;УИК №1712;УИК №1713;УИК №1714;УИК №1715;УИК №1716;УИК №1717
14;Алырин Святослав Игоревич;167.0;11;11;13;15;16;9;26;17;26;15;8
15;Андрюшина Анна Аликовна;276.0;15;16;15;18;18;11;27;25;36;39;56
16;Балашов Дмитрий Владимирович;1227.0;76;111;94;126;114;83;130;128;113;109;143
17;Бучнев Константин Викторович;245.0;20;27;24;31;23;8;20;20;24;25;23
18;Виноградова Елена Геннадьевна;996.0;59;91;80;101;86;87;112;103;89;90;98
19;Гаврилова Светлана Александровна;1056.0;72;95;81;104;92;80;111;120;105;89;107
20;Дутиков Кирилл Владимирович;178.0;13;18;18;17;16;11;19;19;19;17;11
21;Еременко Олег Алексеевич;128.0;6;11;12;22;15;5;16;11;11;7;12
22;Жукова Александра Сергеевна;231.0;16;17;18;19;15;16;22;23;24;26;35
23;Кобец Николай Петрович;199.0;14;17;13;20;23;11;11;23;20;23;24
24;Коваленко Сергей Викторович;162.0;17;11;9;27;15;8;14;17;13;13;18
25;Мартанова Юлия Валентиновна;1063.0;52;96;84;108;106;89;123;132;97;76;100
26;Марченко Александр Витальевич;362.0;27;43;31;22;39;22;33;46;32;32;35
27;Палехова Ирина Владимировна;999.0;57;88;73;96;80;74;102;105;109;91;124
28;Рижнева Евгения Николаевна;159.0;12;18;12;24;8;6;19;18;10;17;15
29;Фурманова Ольга Эдуардовна;215.0;26;24;14;13;14;15;16;25;22;29;17
30;Хватова Дарья Сергеевна;144.0;9;9;13;18;17;4;10;19;15;21;9
31;Чернышов Никита Михайлович;203.0;19;20;9;22;17;9;18;17;25;21;26
32;Шепарцов Сергей Михайлович;269.0;23;32;17;33;29;6;32;21;26;20;30
