;name;overall;УИК №855;УИК №856;УИК №857;УИК №863;УИК №864;УИК №865;УИК №866;УИК №876;УИК №877;УИК №878;УИК №880
14;Алиев Мариф Ариф оглы;143.0;17;16;17;20;14;18;13;5;11;2;10
15;Андержанов Надир Абдулкадерович;111.0;14;6;18;11;11;16;11;1;10;3;10
16;Аристов Иван Александрович;1128.0;79;76;83;68;112;81;117;209;74;5;224
17;Аширов Денис Валерьевич;898.0;124;95;117;126;127;82;80;30;54;21;42
18;Белов Даниил Романович;157.0;16;16;22;20;18;20;15;6;14;2;8
19;Воробьев Андрей Игоревич;1114.0;154;115;149;144;154;107;103;35;76;23;54
20;Гончаров Олег Викторович;309.0;46;24;43;32;36;28;42;5;29;2;22
21;Киндлер Яна Владимировна;138.0;24;11;16;14;10;11;12;5;19;4;12
22;Клюев Олег Александрович;312.0;54;23;43;24;44;32;22;12;35;4;19
23;Коновалова Екатерина Александровна;1216.0;173;126;146;164;162;117;111;48;78;30;61
24;Крылов Станислав Сергеевич;964.0;135;104;125;123;132;92;89;34;61;22;47
25;Ларионова Антонина Михайловна;460.0;58;26;70;40;57;49;53;17;54;10;26
26;Мещеряков Михаил Алексеевич;175.0;22;12;30;15;22;19;19;4;18;2;12
27;Муравская Юлия Сергеевна;1349.0;109;89;107;91;160;91;155;173;87;18;269
28;Ничемержин Андрей Владимирович;1295.0;92;89;100;81;135;80;144;167;80;10;317
29;Омельяненко Алексей Алексеевич;1122.0;75;65;77;71;116;76;110;163;68;6;295
30;Орехова Мария Александровна;258.0;32;23;37;22;39;34;24;6;25;4;12
31;Перминов Владимир Владимирович;118.0;20;11;8;19;12;12;7;7;13;4;5
32;Потапов Александр Валентинович;183.0;24;15;20;17;19;25;23;1;20;3;16
33;Степаненкова Галина Михайловна;271.0;37;18;39;21;44;24;36;7;23;6;16
34;Сухова Вера Николаевна;1010.0;134;96;118;138;144;108;94;39;64;26;49
35;Халезов Иван Александрович;1270.0;96;80;106;81;155;92;135;166;97;5;257
