;name;overall;УИК №854;УИК №867;УИК №868;УИК №869;УИК №870;УИК №871;УИК №872;УИК №873;УИК №874;УИК №875
14;Алексеева Елена Павловна;214.0;18;30;19;24;9;23;24;23;22;22
15;Богачев Александр Бюлентович;422.0;34;50;62;62;20;49;39;42;33;31
16;Вавилова Виктория Викторовна;666.0;62;100;49;72;38;89;93;67;54;42
17;Гамбурцев Святослав Даниелович;500.0;43;62;59;67;20;54;58;53;49;35
18;Гордина Ольга Андреевна;1287.0;114;173;76;137;51;120;174;162;147;133
19;Иванова Анна Кирилловна;1118.0;98;160;59;123;46;107;134;138;138;115
20;Казаковская Юлия Борисовна;998.0;95;128;57;113;35;93;126;127;116;108
21;Крейдич Виктор Юрьевич;936.0;89;123;41;109;32;94;122;113;107;106
22;Панков Дмитрий Валерьевич;623.0;47;85;78;81;18;60;67;69;74;44
23;Петухова Елена Петровна;158.0;19;13;10;17;8;10;20;18;23;20
24;Пильский Андрей Владимирович;279.0;20;31;29;46;10;32;26;31;33;21
25;Тельманова Маргарита Владимировна;1133.0;117;181;97;124;60;130;176;102;84;62
26;Филимоненко Илья Анатольевич;329.0;29;40;36;36;17;46;40;37;31;17
27;Филиппов Анатолий Иванович;301.0;30;31;31;33;19;40;38;28;39;12
28;Хавин Олег Юрьевич;222.0;23;24;27;24;9;28;31;21;21;14
29;Хамзина Елена Николаевна;148.0;15;14;12;14;9;12;24;12;14;22
30;Цивилева Лариса Николаевна;886.0;97;139;72;107;43;100;113;95;64;56
31;Шустров Евгений Владимирович;993.0;89;133;45;91;35;94;127;134;132;113
