;parameter;overall;УИК №854;УИК №867;УИК №868;УИК №869;УИК №870;УИК №871;УИК №872;УИК №873;УИК №874;УИК №875
1;Число избирателей, внесенных в список;21181.0;2459;2748;1716;2168;1255;2297;2127;2647;2127;1637
2;Число бюллетеней, полученных участковой комиссией;14900.0;1700;1900;1200;1500;900;1600;1500;1900;1500;1200
3;Число бюллетеней, выданных избирателям в помещении для голосования;2991.0;297;391;242;332;127;303;372;362;315;250
4;Число бюллетеней, выданных избирателям, проголосовавшим досрочно;14.0;1;3;1;3;0;2;2;1;1;0
5;Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования;84.0;9;7;2;19;6;16;10;4;9;2
6;Число погашенных бюллетеней;11825.0;1394;1502;956;1149;767;1281;1118;1534;1176;948
7;Число бюллетеней в переносных ящиках для голосования;84.0;9;7;2;19;6;16;10;4;9;2
8;Число бюллетеней в стационарных ящиках для голосования;2997.0;298;393;243;335;127;305;374;359;314;249
9;Число недействительных бюллетеней;104.0;11;12;6;10;5;9;13;20;8;10
10;Число действительных бюллетеней;2977.0;296;388;239;344;128;312;371;343;315;241
11;Число утраченных бюллетеней;0.0;0;0;0;0;0;0;0;0;0;0
12;Число бюллетеней, не учтенных при получении;0.0;0;0;0;0;0;0;0;0;0;0
