;parameter;overall;УИК №1718;УИК №1719;УИК №1720;УИК №1721;УИК №1722;УИК №1723;УИК №1724;УИК №1725;УИК №1727;УИК №1728;УИК №1729;УИК №1730;УИК №1731
1;Число избирателей, внесенных в список;30527.0;2269;2790;2499;2255;2760;2760;2274;2435;2396;2027;2238;2216;1608
2;Число бюллетеней, полученных участковой комиссией;21700.0;1600;2000;1750;1600;1950;1950;1600;1750;1700;1450;1600;1600;1150
3;Число бюллетеней, выданных избирателям в помещении для голосования;4054.0;308;405;300;330;300;276;353;419;314;298;291;282;178
4;Число бюллетеней, выданных избирателям, проголосовавшим досрочно;23.0;3;2;2;1;3;1;3;2;1;0;1;3;1
5;Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования;186.0;27;22;19;21;25;6;10;14;10;6;7;11;8
6;Число погашенных бюллетеней;17460.0;1265;1573;1431;1249;1625;1668;1237;1317;1376;1146;1302;1307;964
7;Число бюллетеней в переносных ящиках для голосования;186.0;27;22;19;21;25;6;10;14;10;6;7;11;8
8;Число бюллетеней в стационарных ящиках для голосования;4063.0;304;407;300;331;303;276;355;419;315;298;292;285;178
9;Число недействительных бюллетеней;110.0;9;16;9;10;9;8;6;10;8;10;8;4;3
10;Число действительных бюллетеней;4139.0;322;413;310;342;319;274;359;423;317;294;291;292;183
11;Число утраченных бюллетеней;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0
12;Число бюллетеней, не учтенных при получении;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0
