;name;overall;УИК №582;УИК №583;УИК №584;УИК №585;УИК №586;УИК №587;УИК №588;УИК №589;УИК №591
14;Барбашов Виктор Иванович;205.0;15;16;11;33;35;34;18;22;21
15;Большаков Денис Валериевич;805.0;87;103;65;94;87;74;143;91;61
16;Денежкина Марина Николаевна;819.0;88;89;53;92;92;82;158;116;49
17;Ивина Ольга Владимировна;113.0;4;12;11;17;14;10;14;21;10
18;Колосова Светлана Игоревна;224.0;25;17;16;30;28;29;30;19;30
19;Колчанов Евгений Сергеевич;191.0;10;14;13;30;21;27;23;25;28
20;Крон Константин Андреевич;515.0;53;60;48;55;57;62;69;42;69
21;Маслёнкин Артём Сергеевич;549.0;63;52;59;50;56;66;84;43;76
22;Муратов Александр Юрьевич;55.0;1;8;5;12;4;5;7;5;8
23;Недбай Илья Аркадьевич;200.0;11;16;12;26;27;25;27;29;27
24;Осипенко Анатолий Павлович;937.0;33;104;83;133;110;194;89;102;89
25;Рощина Ольга Николаевна;847.0;28;90;69;125;106;182;79;89;79
26;Рудакова Светлана Александровна;113.0;3;10;6;16;16;19;8;15;20
27;Селиванов Святослав Сергеевич;734.0;130;85;44;75;82;67;114;93;44
28;Смирнова Надежда Анатольевна;710.0;65;81;34;77;74;74;134;128;43
29;Спесивцев Василий Вячеславович;868.0;25;85;71;116;113;177;99;102;80
30;Степанова Ольга Петровна;752.0;22;70;74;109;96;141;76;83;81
31;Тихомирова Тамара Михайловна;431.0;23;42;87;49;54;27;74;41;34
32;Уржумцев Максим Александрович;506.0;54;50;52;48;57;57;77;41;70
33;Фетисова Марина Николаевна;781.0;18;61;62;133;102;171;89;83;62
34;Филатова Татьяна Васильевна;180.0;13;14;17;31;19;19;23;16;28
35;Цыбанов Базар-Сада Доржиевич;430.0;47;47;42;42;42;54;67;29;60
36;Черкасский Павел Сергеевич;72.0;0;8;6;14;8;9;10;15;2
37;Чупраков Руслан Азамович;43.0;2;4;2;5;6;9;5;5;5
38;Шахназарова Наталья Валерьевна;63.0;7;3;5;12;6;11;6;4;9
39;Шнейд-Миллер Лита Константиновна;61.0;4;9;6;9;5;6;5;11;6
40;Штырков Евгений Викторович;700.0;67;92;41;82;76;74;119;95;54
