;name;overall;УИК №590;УИК №592;УИК №593;УИК №594;УИК №595;УИК №596;УИК №597;УИК №598
14;Андрусяк Ярослав Олегович;456.0;49;62;41;67;86;44;47;60
15;Андрюкова Ирина Владимировна;338.0;51;39;74;50;48;26;18;32
16;Аникина Ольга Владимировна;962.0;117;98;89;190;117;145;81;125
17;Анисимов Николай Александрович;213.0;44;19;19;25;46;20;20;20
18;Белавская Алеся Владимировна;1002.0;149;125;127;189;196;82;59;75
19;Бурденко Вячеслав Владимирович;724.0;145;101;72;130;147;55;32;42
20;Виноградов Виталий Анатольевич;226.0;43;24;16;30;36;30;20;27
21;Губанов Юрий Ильич;417.0;50;66;70;66;60;36;33;36
22;Данюков Егор Владимирович;149.0;19;22;20;36;20;14;3;15
23;Замышляев Максим Александрович;122.0;17;15;5;21;20;15;10;19
24;Казанская Ольга Викторовна;351.0;45;53;48;61;44;29;31;40
25;Колесов Дмитрий Валерьевич;183.0;18;25;13;32;23;21;28;23
26;Крутенкова Наталья Сергеевна;411.0;57;63;61;54;59;38;25;54
27;Кузнецова Ксения Олеговна;271.0;36;32;41;40;34;21;25;42
28;Лавров Алексей Борисович;882.0;155;92;94;177;177;75;49;63
29;Логвинов Алексей Андреевич;834.0;94;93;61;180;102;132;68;104
30;Молочко Александр Михайлович;103.0;17;11;9;15;18;6;14;13
31;Петренко Андрей Владимирович;782.0;141;83;73;146;174;67;43;55
32;Полевов Станислав Владимирович;88.0;15;11;7;14;8;12;7;14
33;Савицкий Константин Эдуардович;457.0;57;49;136;63;50;50;17;35
34;Смольянина Елена Владимировна;277.0;54;31;25;37;42;28;20;40
35;Твердова Светлана Ильинична;179.0;27;16;24;33;27;11;12;29
36;Тупицын Дмитрий Вячеславович;1121.0;127;129;108;228;126;177;91;135
37;Фоменко Ирина Алексеевна;1142.0;136;123;132;240;131;158;100;122
38;Шпекторов Алексей Евгеньевич;492.0;51;68;39;80;91;48;47;68
39;Щиповский Герман Владимирович;856.0;162;97;64;171;184;76;44;58
40;Юркевич Кирилл Юрьевич;868.0;91;92;74;183;102;138;78;110
