;parameter;overall;УИК №590;УИК №592;УИК №593;УИК №594;УИК №595;УИК №596;УИК №597;УИК №598
1;Число избирателей, внесенных в список;19158.0;2531;2500;2271;2546;2682;2542;1868;2218
2;Число бюллетеней, полученных участковой комиссией;13700.0;1800;1800;1600;1800;1900;1800;1400;1600
3;Число бюллетеней, выданных избирателям в помещении для голосования;3424.0;498;410;428;615;503;371;253;346
4;Число бюллетеней, выданных избирателям, проголосовавшим досрочно;66.0;13;5;8;13;12;8;1;6
5;Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования;123.0;4;20;14;8;10;26;12;29
6;Число погашенных бюллетеней;10152.0;1298;1370;1157;1177;1387;1403;1135;1225
7;Число бюллетеней в переносных ящиках для голосования;123.0;4;20;14;8;10;26;12;29
8;Число бюллетеней в стационарных ящиках для голосования;3487.0;511;415;435;628;515;379;252;352
9;Число недействительных бюллетеней;122.0;16;21;16;18;12;16;9;14
10;Число действительных бюллетеней;3488.0;499;414;433;618;513;389;255;367
11;Число утраченных бюллетеней;1.0;0;0;1;0;0;0;0;0
12;Число бюллетеней, не учтенных при получении;0.0;0;0;0;0;0;0;0;0
