;parameter;overall;УИК №906;УИК №907;УИК №908;УИК №909;УИК №910;УИК №911;УИК №912;УИК №913;УИК №914;УИК №915;УИК №916;УИК №917
1;Число избирателей, внесенных в список;24595.0;1906;2000;1086;2110;2521;2391;2154;2350;2360;1585;2042;2090
2;Число бюллетеней, полученных участковой комиссией;17800.0;1400;1500;800;1500;1800;1700;1600;1700;1700;1100;1500;1500
3;Число бюллетеней, выданных избирателям в помещении для голосования;3805.0;205;261;215;322;380;407;361;356;420;230;361;287
4;Число бюллетеней, выданных избирателям, проголосовавшим досрочно;11.0;3;0;0;0;1;3;0;0;0;3;1;0
5;Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования;206.0;11;14;2;29;13;17;8;29;15;31;19;18
6;Число погашенных бюллетеней;13780.0;1184;1225;583;1149;1407;1276;1222;1315;1265;839;1120;1195
7;Число бюллетеней в переносных ящиках для голосования;206.0;11;14;2;29;13;17;8;29;15;31;19;18
8;Число бюллетеней в стационарных ящиках для голосования;3776.0;208;261;214;315;380;407;344;356;419;231;362;279
9;Число недействительных бюллетеней;191.0;9;7;8;6;20;16;28;22;23;15;22;15
10;Число действительных бюллетеней;3791.0;210;268;208;338;373;408;324;363;411;247;359;282
11;Число утраченных бюллетеней;9.0;0;0;0;0;0;0;9;0;0;0;0;0
12;Число бюллетеней, не учтенных при получении;0.0;0;0;0;0;0;0;0;0;0;0;0;0
