;parameter;overall;УИК №2543;УИК №2545;УИК №2546
1;Число избирателей, внесенных в список;7520.0;2185;2458;2877
2;Число бюллетеней, полученных участковой комиссией;6500.0;2000;2000;2500
3;Число бюллетеней, выданных избирателям в помещении для голосования;1076.0;318;351;407
4;Число бюллетеней, выданных избирателям, проголосовавшим досрочно;35.0;7;12;16
5;Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования;40.0;5;15;20
6;Число погашенных бюллетеней;5384.0;1677;1634;2073
7;Число бюллетеней в переносных ящиках для голосования;40.0;5;15;20
8;Число бюллетеней в стационарных ящиках для голосования;1098.0;313;363;422
9;Число недействительных бюллетеней;49.0;24;7;18
10;Число действительных бюллетеней;1089.0;294;371;424
11;Число утраченных бюллетеней;0.0;0;0;0
12;Число бюллетеней, не учтенных при получении;0.0;0;0;0
