;parameter;overall;УИК №239;УИК №240;УИК №241;УИК №242;УИК №243;УИК №244;УИК №245;УИК №246;УИК №247
1;Число избирателей, внесенных в список;22308.0;2225;2619;2005;2351;2903;2690;2078;2603;2834
2;Число бюллетеней, полученных участковой комиссией;15750.0;1550;1850;1400;1650;2050;1900;1500;1850;2000
3;Число бюллетеней, выданных избирателям в помещении для голосования;3338.0;362;439;332;371;443;397;262;363;369
4;Число бюллетеней, выданных избирателям, проголосовавшим досрочно;24.0;2;6;6;4;2;1;1;1;1
5;Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования;255.0;21;22;21;23;24;43;25;48;28
6;Число погашенных бюллетеней;12157.0;1167;1389;1047;1256;1583;1460;1213;1439;1603
7;Число бюллетеней в переносных ящиках для голосования;255.0;21;22;21;23;24;43;25;48;28
8;Число бюллетеней в стационарных ящиках для голосования;3352.0;364;439;338;375;443;397;262;364;370
9;Число недействительных бюллетеней;128.0;17;23;12;13;10;16;7;19;11
10;Число действительных бюллетеней;3479.0;368;438;347;385;457;424;280;393;387
11;Число утраченных бюллетеней;0.0;0;0;0;0;0;0;0;0;0
12;Число бюллетеней, не учтенных при получении;0.0;0;0;0;0;0;0;0;0;0
