;parameter;overall;УИК №918;УИК №919;УИК №920;УИК №921;УИК №922;УИК №923;УИК №925;УИК №930;УИК №932;УИК №935;УИК №936;УИК №939
1;Число избирателей, внесенных в список;21012.0;1952;428;2097;1665;2137;1868;2103;2030;516;2327;2106;1783
2;Число бюллетеней, полученных участковой комиссией;15030.0;1400;430;1500;1200;1500;1300;1500;1400;400;1700;1500;1200
3;Число бюллетеней, выданных избирателям в помещении для голосования;3857.0;358;169;381;287;341;332;366;391;71;398;395;368
4;Число бюллетеней, выданных избирателям, проголосовавшим досрочно;5.0;0;2;0;1;0;0;0;0;0;1;1;0
5;Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования;468.0;20;225;20;32;25;28;25;34;7;16;19;17
6;Число погашенных бюллетеней;10705.0;1022;36;1099;881;1134;940;1109;975;322;1286;1086;815
7;Число бюллетеней в переносных ящиках для голосования;468.0;20;225;20;32;25;28;25;34;7;16;19;17
8;Число бюллетеней в стационарных ящиках для голосования;3857.0;356;171;381;288;341;331;366;391;71;399;396;366
9;Число недействительных бюллетеней;159.0;19;16;9;14;13;12;10;8;3;22;14;19
10;Число действительных бюллетеней;4166.0;357;380;392;306;353;347;381;417;75;393;401;364
11;Число утраченных бюллетеней;0.0;0;0;0;0;0;0;0;0;0;0;0;0
12;Число бюллетеней, не учтенных при получении;0.0;0;0;0;0;0;0;0;0;0;0;0;0
