;name;overall;УИК №1277;УИК №1278;УИК №1279;УИК №1280;УИК №1281;УИК №1282;УИК №1283;УИК №1284;УИК №1285;УИК №1286;УИК №1287;УИК №1288;УИК №1289;УИК №1290;УИК №1292
14;Абрамов Сергей Владимирович;460.0;41;26;37;8;26;38;43;28;20;39;25;34;21;43;31
15;Баленков Никита Александрович;206.0;15;22;13;7;11;19;14;9;8;13;6;15;16;20;18
16;Болотов Николай Николаевич;1819.0;164;117;191;42;89;133;110;110;85;83;155;123;134;138;145
17;Борук Василий Васильевич;438.0;30;33;33;3;20;39;37;30;29;38;23;28;32;38;25
18;Годин Андрей Сергеевич;467.0;37;39;31;4;29;38;42;25;21;44;41;36;29;29;22
19;Дягилев Игорь Владимирович;1995.0;135;124;188;47;118;151;100;137;91;120;192;130;152;140;170
20;Зайцев Даниил Александрович;620.0;44;38;33;3;40;52;45;56;28;51;47;42;49;55;37
21;Колесина Лидия Ивановна;283.0;32;17;15;5;19;20;17;13;8;18;19;24;21;36;19
22;Косаренко Юрий Юрьевич;211.0;16;12;16;3;13;18;15;8;7;13;18;15;10;22;25
23;Кузуб Виктория Валерьевна;171.0;14;9;15;2;15;11;10;7;9;14;14;12;11;14;14
24;Лавриненко Елена Валерьевна;2104.0;136;115;197;42;121;143;153;142;103;119;197;139;153;163;181
25;Ломовицкая Ольга Олеговна;524.0;38;35;33;10;39;37;55;28;26;39;35;35;34;46;34
26;Мусина Мария Анатольевна;853.0;84;93;58;24;57;58;63;58;49;49;55;63;47;43;52
27;Назарова Надежда Геннадьевна;1695.0;201;105;194;37;85;119;92;89;72;67;136;94;112;114;178
28;Овчинников Игорь Борисович;313.0;33;17;22;5;22;16;39;17;18;19;20;15;19;20;31
29;Пустовой Вадим Анатольевич;523.0;39;41;26;9;31;56;28;35;32;46;32;43;31;39;35
30;Рощаховская Елена Валерьевна;477.0;27;39;28;4;28;42;37;28;25;37;33;35;41;42;31
31;Силаева Ирина Владимировна;1805.0;134;128;186;40;98;128;107;119;88;93;148;106;130;125;175
32;Темников Марк Анатольевич;546.0;28;40;28;3;30;48;35;31;29;53;39;49;47;54;32
33;Тимошевский Петр Владимирович;542.0;33;37;31;4;28;49;35;35;31;49;43;32;52;52;31
