;parameter;overall;УИК №1277;УИК №1278;УИК №1279;УИК №1280;УИК №1281;УИК №1282;УИК №1283;УИК №1284;УИК №1285;УИК №1286;УИК №1287;УИК №1288;УИК №1289;УИК №1290;УИК №1292
1;Число избирателей, внесенных в список;32021.0;2075;1991;2276;869;2429;2512;2101;2279;1910;1951;2111;2173;2386;2321;2637
2;Число бюллетеней, полученных участковой комиссией;22444.0;1454;1395;1595;610;1701;1763;1471;1597;1340;1369;1479;1525;1670;1626;1849
3;Число бюллетеней, выданных избирателям в помещении для голосования;4147.0;293;261;371;81;233;300;309;257;237;246;349;296;309;324;281
4;Число бюллетеней, выданных избирателям, проголосовавшим досрочно;30.0;2;3;4;2;2;1;2;2;0;1;4;1;2;4;0
5;Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования;339.0;22;39;21;8;20;28;21;27;20;21;12;30;44;12;14
6;Число погашенных бюллетеней;17958.0;1139;1095;1203;521;1448;1435;1141;1313;1083;1102;1118;1199;1317;1290;1554
7;Число бюллетеней в переносных ящиках для голосования;339.0;22;39;21;8;20;28;21;27;20;21;12;30;44;12;14
8;Число бюллетеней в стационарных ящиках для голосования;4168.0;293;264;375;80;235;301;311;259;237;247;353;295;309;328;281
9;Число недействительных бюллетеней;116.0;0;9;18;1;5;4;11;3;5;3;10;11;14;15;7
10;Число действительных бюллетеней;4391.0;315;294;378;87;250;325;321;283;252;265;355;314;339;325;288
11;Число утраченных бюллетеней;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12;Число бюллетеней, не учтенных при получении;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
