;name;overall;УИК №1291;УИК №1293;УИК №1294;УИК №1295;УИК №1296;УИК №1297;УИК №1298;УИК №1299;УИК №1300;УИК №1301;УИК №1302;УИК №1303;УИК №1304;УИК №1305;УИК №1306;УИК №1307
14;Адилов Нариман Иманович;216.0;17;13;16;8;2;6;15;15;10;20;20;13;10;28;7;16
15;Алексеев Станислав Андреевич;621.0;45;51;44;59;8;33;43;31;35;56;43;57;36;20;17;43
16;Андрианова Галина Александровна;618.0;53;54;46;38;16;25;51;40;31;47;32;31;29;64;19;42
17;Гальцов Александр Владимирович;295.0;16;22;26;15;4;0;22;20;14;35;21;17;21;26;12;24
18;Зайцев Владимир Николаевич;366.0;30;41;31;19;6;9;30;25;19;28;23;29;15;19;15;27
19;Качановский Дмитрий Евгеньевич;555.0;44;39;45;37;8;31;47;32;29;57;39;47;29;20;16;35
20;Колесин Павел Юрьевич;252.0;12;24;25;7;5;1;27;19;10;23;15;15;16;26;15;12
21;Комарова Людмила Николаевна;2148.0;152;149;157;195;32;88;192;104;128;159;178;139;144;138;79;114
22;Кочетов Сергей Владимирович;310.0;32;29;17;14;5;8;23;21;20;33;23;21;15;19;13;17
23;Кудряшева Оксана Николаевна;2327.0;131;132;168;294;37;90;201;114;147;177;190;148;145;134;104;115
24;Лапушкина Светлана Анатольевна;555.0;43;37;41;37;10;19;46;33;34;46;47;56;29;6;25;46
25;Маркина Марина Владимировна;705.0;56;64;63;54;13;36;57;40;41;58;53;48;38;27;22;35
26;Николаева Антонина Ивановна;2102.0;107;128;153;184;33;111;167;93;122;172;182;141;182;136;84;107
27;Овсянников Евгений Владимирович;1768.0;111;102;133;183;23;90;155;90;90;123;152;109;112;139;66;90
28;Портнов Дмитрий Александрович;245.0;19;18;16;17;6;1;22;10;27;20;20;11;15;26;6;11
29;Ряховский Дмитрий Юрьевич;736.0;58;56;49;27;21;31;92;60;42;50;51;53;33;64;19;30
30;Сидоров Алексей Константинович;281.0;13;23;21;15;2;10;26;19;10;30;28;18;14;26;10;16
31;Стрельченко Никита Владимирович;219.0;7;21;10;19;1;7;17;28;15;19;11;13;13;26;5;7
32;Тимошина Елена Владимировна;475.0;26;40;27;32;7;11;38;34;35;43;49;38;25;19;23;28
33;Филиппов Евгений Геннадьевич;374.0;28;33;20;24;8;17;31;26;12;22;18;22;15;68;12;18
34;Ханнанова Елена Александровна;269.0;22;22;14;21;5;7;11;12;28;28;15;21;17;19;13;14
35;Харланова Валентина Михайловна;1612.0;99;98;116;138;22;74;178;82;90;115;119;95;93;142;55;96
36;Хрусталева Наталия Вячеславовна;531.0;33;47;24;31;16;15;43;28;28;45;31;42;24;68;23;33
