;name;overall;УИК №1308;УИК №1309;УИК №1310;УИК №1311;УИК №1312;УИК №1323;УИК №1324;УИК №1327;УИК №1328;УИК №1329;УИК №1330;УИК №1331;УИК №1334;УИК №1335
14;Акимова Надежда Александровна;383.0;50;8;13;17;22;33;30;31;41;25;24;32;24;33
15;Баканов Андрей Геннадьевич;170.0;10;8;7;9;7;13;12;19;13;14;14;16;14;14
16;Бакунькин Дмитрий Владимирович;652.0;32;28;38;24;26;52;36;51;38;50;53;103;71;50
17;Береговский Евгений Александрович;222.0;16;18;5;8;12;17;23;17;11;19;20;18;23;15
18;Берин Александр Завенович;630.0;54;44;28;29;33;48;56;72;29;46;32;62;47;50
19;Глотова Елена Юрьевна;1591.0;141;135;88;126;95;128;118;125;86;108;94;94;137;116
20;Груздева Маргарита Владимировна;764.0;39;33;59;36;36;62;35;72;46;58;48;101;70;69
21;Дёров Максим Владимирович;724.0;76;51;42;43;35;52;54;75;40;47;27;79;57;46
22;Жаров Герман Алексеевич;583.0;42;21;28;25;19;43;38;49;40;48;42;74;68;46
23;Журкина Юлия Николаевна;668.0;46;28;22;41;32;68;40;60;37;48;50;66;74;56
24;Калькова Нина Васильевна;1475.0;114;127;74;116;79;107;94;120;70;89;89;75;177;144
25;Караулова Татьяна Вячеславовна;640.0;15;24;15;34;13;42;45;54;57;56;46;112;50;77
26;Кучерова Наталия Владимировна;731.0;62;53;46;36;28;48;55;74;50;46;38;99;48;48
27;Лабаш Фарис Ахмадович;444.0;39;28;20;23;23;27;44;43;30;37;23;53;38;16
28;Линок Антон Валериевич;100.0;9;6;4;13;10;6;7;10;1;6;7;13;4;4
29;Максаев Артур Анатольевич;1489.0;125;121;77;101;79;102;91;106;138;110;118;90;132;99
30;Местергази Георгий Михайлович;1733.0;163;164;102;148;128;118;102;117;96;99;114;105;147;130
31;Рязанов Владислав Александрович;321.0;27;15;16;28;15;30;15;28;16;30;18;25;26;32
32;Самилло Игорь Владимирович;847.0;56;47;35;45;30;75;59;120;53;50;46;92;71;68
33;Самолина Анастасия Валерьевна;572.0;44;31;35;27;27;36;39;62;35;52;46;51;41;46
34;Скондаков Дмитрий Борисович;149.0;8;8;5;9;4;8;17;11;3;11;14;15;13;23
35;Соловьева Вера Александровна;609.0;43;39;18;33;29;47;42;65;48;43;49;49;61;43
36;Шевченко Вера Леонидовна;1404.0;128;117;83;121;92;108;92;99;87;80;88;85;120;104
