;name;overall;УИК №2148;УИК №2149;УИК №2150;УИК №2168;УИК №2169;УИК №2170;УИК №2171
14;Афанасьев Игорь Геннадиевич;128.0;9;9;37;22;20;27;4
15;Баранов Олег Викторович;489.0;27;26;96;86;205;43;6
16;Запашная Татьяна Васильевна;426.0;60;56;88;64;60;80;18
17;Зуев Юрий Борисович;735.0;59;56;140;222;111;122;25
18;Колесова Анастасия Валерьевна;990.0;68;81;183;300;173;154;31
19;Косован Игорь Анатольевич;144.0;10;15;29;37;30;19;4
20;Ларионова Ольга Сергеевна;67.0;7;11;15;14;9;11;0
21;Обжирова Ирина Михайловна;320.0;10;26;36;189;22;30;7
22;Павлова Надежда Сергеевна;344.0;39;46;72;56;62;61;8
23;Симоненкова Марина Борисовна;124.0;12;18;32;23;21;15;3
24;Стараев Сергей Валентинович;164.0;15;16;33;40;26;26;8
25;Сычев Антон Андреевич;145.0;14;15;31;26;28;27;4
26;Филатова Марина Николаевна;473.0;51;54;76;99;88;87;18
27;Финашкина Людмила Васильевна;55.0;3;9;16;14;6;6;1
28;Фомичева Римма Мотелевна;36.0;1;5;9;10;3;7;1
29;Чирков Максим Андреевич;241.0;24;32;58;63;23;35;6
30;Шагиахметова Эльмира Камильевна;781.0;69;61;132;251;118;123;27
