;parameter;overall;УИК №2151;УИК №2152;УИК №2153;УИК №2154;УИК №2155;УИК №2156
1;Число избирателей, внесенных в список;11283.0;1332;2185;2320;1987;1847;1612
2;Число бюллетеней, полученных участковой комиссией;8000.0;950;1550;1650;1400;1300;1150
3;Число бюллетеней, выданных избирателям в помещении для голосования;2132.0;243;456;407;372;375;279
4;Число бюллетеней, выданных избирателям, проголосовавшим досрочно;29.0;3;8;2;3;7;6
5;Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования;117.0;16;31;25;12;20;13
6;Число погашенных бюллетеней;5751.0;691;1063;1218;1016;905;858
7;Число бюллетеней в переносных ящиках для голосования;117.0;16;31;25;12;20;13
8;Число бюллетеней в стационарных ящиках для голосования;2157.0;246;463;409;375;381;283
9;Число недействительных бюллетеней;34.0;5;5;5;4;9;6
10;Число действительных бюллетеней;2240.0;257;489;429;383;392;290
11;Число утраченных бюллетеней;0.0;0;0;0;0;0;0
12;Число бюллетеней, не учтенных при получении;0.0;0;0;0;0;0;0
