;name;overall;УИК №2157;УИК №2158;УИК №2159;УИК №2160;УИК №2166;УИК №2167
14;Вардомская Ольга Юрьевна;182.0;32;26;21;33;32;38
15;Гуляев Анатолий Александрович;132.0;24;25;28;11;11;33
16;Давидович Ян Александрович;1108.0;172;159;156;232;130;259
17;Езерская Дарья Владимировна;218.0;36;29;31;38;39;45
18;Журавлев Георгий Владимирович;184.0;27;18;57;9;13;60
19;Кодзов Ислам Нурмухамедович;75.0;15;13;11;9;11;16
20;Коротков Алексей Валерьевич;133.0;26;12;27;19;23;26
21;Кучумова Юлия Михайловна;1087.0;184;175;170;168;129;261
22;Оленева Марина Александровна;504.0;93;88;80;67;81;95
23;Орлова Елена Владиславовна;520.0;106;98;102;67;64;83
24;Романовская Светлана Валентиновна;66.0;11;11;14;15;6;9
25;Русакова Елена Леонидовна;1170.0;212;190;151;205;135;277
26;Рыбакова Тамара Михайловна;408.0;68;66;98;48;62;66
27;Соннов Михаил Викторович;108.0;13;10;18;17;24;26
28;Степина Наталья Владимировна;41.0;4;7;8;6;5;11
29;Тимошин Артем Викторович;45.0;10;5;7;6;6;11
30;Тимошина Юлия Сергеевна;54.0;10;14;7;6;5;12
31;Тучкова Анна Петровна;60.0;9;13;8;11;11;8
32;Федоров Николай Борисович;116.0;28;23;12;13;19;21
33;Царёва Инна Анатольевна;124.0;29;20;18;18;13;26
34;Шариков Дмитрий Николаевич;41.0;10;12;4;5;0;10
