;name;overall;УИК №2161;УИК №2162;УИК №2163;УИК №2164;УИК №2165
14;Антонова Вера Николаевна;107.0;16;26;28;22;15
15;Галицкий Алексей Игоревич;85.0;13;15;16;16;25
16;Глазко Евгений Геннадьевич;1164.0;224;449;186;159;146
17;Данилов Илья Игоревич;30.0;7;5;6;5;7
18;Джигарханян Армен Борисович;420.0;92;56;92;63;117
19;Елохов Константин Дмитриевич;1101.0;199;426;175;165;136
20;Киндяков Владимир Викторович;190.0;40;32;38;38;42
21;Клюйкова Александрина Васильевна;289.0;45;78;79;45;42
22;Кляшторин Александр Алексеевич;54.0;18;6;11;7;12
23;Лещук Мартин Брониславович;99.0;22;21;17;22;17
24;Махнутин Максим Вадимович;393.0;95;48;90;61;99
25;Миронов Кирилл Владимирович;440.0;105;62;97;71;105
26;Симон Анна Игоревна;89.0;22;18;11;23;15
27;Стрелков Денис Александрович;170.0;33;40;28;41;28
28;Фахми Ясмин Мохамедовна;1142.0;209;446;184;165;138
29;Цветкова Татьяна Васильевна;176.0;35;46;40;22;33
30;Шишлов Григорий Григорьевич;109.0;15;14;14;34;32
31;Шмелев Иван Викторович;32.0;7;2;6;10;7
32;Щетинин Павел Константинович;25.0;9;5;3;2;6
