;parameter;overall;УИК №283;УИК №284;УИК №285;УИК №286;УИК №287;УИК №288;УИК №289;УИК №299
1;Число избирателей, внесенных в список;21160.0;2586;2473;2961;2552;2659;2623;2572;2734
2;Число бюллетеней, полученных участковой комиссией;16100.0;2000;2000;2100;2000;2000;2000;2000;2000
3;Число бюллетеней, выданных избирателям в помещении для голосования;2913.0;432;407;333;325;387;366;296;367
4;Число бюллетеней, выданных избирателям, проголосовавшим досрочно;50.0;3;11;7;6;8;6;4;5
5;Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования;187.0;17;16;34;29;16;26;32;17
6;Число погашенных бюллетеней;13000.0;1551;1577;1733;1646;1597;1608;1672;1616
7;Число бюллетеней в переносных ящиках для голосования;187.0;17;16;34;29;16;26;32;17
8;Число бюллетеней в стационарных ящиках для голосования;2954.0;435;418;333;330;394;372;300;372
9;Число недействительных бюллетеней;90.0;16;9;13;15;13;9;7;8
10;Число действительных бюллетеней;3051.0;436;425;354;344;397;389;325;381
11;Число утраченных бюллетеней;0.0;0;0;0;0;0;0;0;0
12;Число бюллетеней, не учтенных при получении;0.0;0;0;0;0;0;0;0;0
