;parameter;overall;УИК №944;УИК №945;УИК №946;УИК №947;УИК №948;УИК №949;УИК №950;УИК №951;УИК №952;УИК №953;УИК №954;УИК №955;УИК №956;УИК №957;УИК №959;УИК №961
1;Число избирателей, внесенных в список;34343.0;2542;2281;287;2552;2308;2027;2118;2360;2648;1883;2476;2557;2234;2026;2111;1933
2;Число бюллетеней, полученных участковой комиссией;34322.0;2537;2279;285;2550;2308;2020;2116;2356;2647;1881;2476;2566;2231;2026;2111;1933
3;Число бюллетеней, выданных избирателям в помещении для голосования;4300.0;411;245;26;261;230;258;270;298;240;296;354;340;279;342;251;199
4;Число бюллетеней, выданных избирателям, проголосовавшим досрочно;19.0;0;0;0;0;0;4;1;1;3;1;0;3;2;0;3;1
5;Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования;449.0;29;8;0;35;21;24;41;26;45;38;40;24;23;43;30;22
6;Число погашенных бюллетеней;29573.0;2097;2026;259;2254;2057;1738;1805;2032;2362;1547;2082;2202;1929;1641;1830;1712
7;Число бюллетеней в переносных ящиках для голосования;449.0;29;8;0;35;21;24;41;26;45;38;40;24;23;43;30;22
8;Число бюллетеней в стационарных ящиках для голосования;4309.0;410;245;26;260;230;259;271;298;243;297;354;343;279;342;254;198
9;Число недействительных бюллетеней;145.0;9;5;1;16;6;20;4;9;8;5;11;11;9;9;20;2
10;Число действительных бюллетеней;4613.0;430;248;25;279;245;263;308;315;280;330;383;356;293;376;264;218
11;Число утраченных бюллетеней;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12;Число бюллетеней, не учтенных при получении;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
