;name;overall;УИК №958;УИК №960;УИК №962;УИК №972;УИК №973;УИК №974;УИК №981;УИК №982;УИК №983;УИК №984;УИК №985;УИК №986;УИК №987;УИК №988;УИК №989
14;Архипов Иван Валерьевич;538.0;54;42;26;49;32;36;21;31;37;34;34;34;25;54;29
15;Асташкин Олег Олегович;355.0;22;31;29;29;18;14;35;19;17;35;17;25;16;30;18
16;Балмышев Алексей Валерьевич;183.0;17;14;19;10;10;11;8;11;11;15;14;10;8;18;7
17;Балмышева Роза Ахсановна;194.0;16;11;15;17;15;14;5;15;13;20;14;10;4;20;5
18;Барышникова Анастасия Павловна;1363.0;74;91;61;99;77;119;56;83;99;167;94;91;97;74;81
19;Горячева Дарья Петровна;299.0;24;24;14;18;15;17;10;17;18;26;28;24;18;30;16
20;Здраевский Дмитрий Александрович;1263.0;66;76;58;87;71;100;47;81;98;161;80;93;97;61;87
21;Колесникова Татьяна Михайловна;910.0;108;104;94;102;50;46;54;55;58;50;48;44;20;45;32
22;Кудрявцева Елена Михайловна;410.0;46;38;27;39;23;25;25;20;32;27;21;21;19;27;20
23;Кудряшов Сергей Константинович;920.0;64;111;95;86;44;41;82;43;49;65;50;56;36;55;43
24;Куликов Андрей Алексеевич;277.0;27;21;15;28;18;19;18;17;20;24;12;14;9;24;11
25;Лаврентьев Андрей Вячеславович;492.0;63;47;46;38;26;32;30;26;26;57;28;21;12;28;12
26;Любицкий Вячеслав Юрьевич;424.0;28;53;43;36;21;14;48;19;27;34;20;21;14;21;25
27;Мячин Андрей Владимирович;614.0;55;36;43;34;33;28;18;23;38;52;46;53;75;44;36
28;Неустроев Сергей Васильевич;537.0;45;35;38;16;25;28;24;18;24;49;36;30;79;47;43
29;Никольский Юрий Евгеньевич;1267.0;65;72;50;86;78;104;52;87;111;160;74;81;98;67;82
30;Полтавцев Андрей Иванович;205.0;15;18;16;21;8;12;11;16;16;18;19;7;7;15;6
31;Рушникова Валентина Александровна;529.0;40;69;51;46;22;26;58;26;28;37;31;26;20;27;22
32;Селезнёва Светлана Викторовна;1345.0;65;82;67;96;78;108;54;78;110;165;89;93;107;68;85
33;Соколова Мария Валерьяновна;1514.0;68;83;80;111;95;120;70;82;123;166;107;98;127;88;96
34;Стефанцев Тимофей Викторович;224.0;9;15;21;22;13;21;9;13;19;23;16;9;4;20;10
35;Теренина Татьяна Михайловна;950.0;79;106;97;93;51;42;83;47;60;57;48;56;34;50;47
36;Шишов Дмитрий Вячеславович;768.0;65;55;44;49;47;61;30;40;44;125;44;48;40;49;27
