;parameter;overall;УИК №1753;УИК №1754;УИК №1755;УИК №1756;УИК №1757;УИК №1758;УИК №1759;УИК №1760;УИК №1761
1;Число избирателей, внесенных в список;16531.0;1601;1799;1098;1078;2423;1899;2052;2409;2172
2;Число бюллетеней, полученных участковой комиссией;13500.0;1000;1500;1000;1000;2000;2000;1500;2000;1500
3;Число бюллетеней, выданных избирателям в помещении для голосования;1857.0;190;241;178;112;221;197;208;287;223
4;Число бюллетеней, выданных избирателям, проголосовавшим досрочно;27.0;3;7;3;1;2;5;4;1;1
5;Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования;164.0;14;39;34;4;32;11;12;9;9
6;Число погашенных бюллетеней;11479.0;796;1220;788;884;1747;1792;1280;1704;1268
7;Число бюллетеней в переносных ящиках для голосования;164.0;14;39;34;4;32;11;12;9;9
8;Число бюллетеней в стационарных ящиках для голосования;1879.0;193;248;181;113;222;202;212;288;220
9;Число недействительных бюллетеней;62.0;4;8;5;2;8;12;6;12;5
10;Число действительных бюллетеней;1981.0;203;279;210;115;246;201;218;285;224
11;Число утраченных бюллетеней;0.0;0;0;0;0;0;0;0;0;0
12;Число бюллетеней, не учтенных при получении;0.0;0;0;0;0;0;0;0;0;0
