;name;overall;УИК №1762;УИК №1763;УИК №1764;УИК №1765;УИК №1766;УИК №1767;УИК №1768;УИК №1769;УИК №1770
14;Андреасян Алексей Суренович;138.0;19;14;15;11;15;16;19;17;12
15;Булатова Алена Александровна;127.0;18;7;16;20;5;18;13;27;3
16;Бутузов Андрей Борисович;246.0;36;20;24;19;30;46;19;36;16
17;Варина Алла Владимировна;908.0;93;67;131;118;95;95;61;204;44
18;Егорова Анна Рувимовна;242.0;37;22;20;20;26;38;28;36;15
19;Камбалов Лев Сергеевич;167.0;21;16;17;22;22;24;11;21;13
20;Королев Владимир Сергеевич;178.0;27;19;15;16;17;24;20;26;14
21;Косилина Ксения Олеговна;93.0;10;8;9;5;8;14;11;20;8
22;Лазарев Денис Алексеевич;486.0;82;35;63;50;62;61;42;59;32
23;Ленберг Виктор Александрович;145.0;17;11;22;20;15;19;12;23;6
24;Лялин Леонид Сергеевич;617.0;103;36;86;62;79;85;56;71;39
25;Майорова Екатерина Игоревна;88.0;4;3;14;9;6;17;8;27;0
26;Мамонтова Мария Юрьевна;196.0;16;8;19;19;26;41;24;35;8
27;Манолов Максим Михайлович;424.0;73;29;57;44;52;53;38;50;28
28;Мельвиль Елена Хасымовна;980.0;118;79;132;116;105;100;69;210;51
29;Панкин Сергей Александрович;277.0;42;22;41;29;37;35;19;38;14
30;Перевалов Владимир Валерьевич;411.0;71;29;53;46;52;56;38;39;27
31;Родионова Татьяна Вячеславовна;909.0;107;70;124;97;92;89;55;235;40
32;Романенко Нина Викторовна;63.0;12;2;10;4;6;9;7;12;1
33;Синицын Алексей Владимирович;171.0;20;13;21;16;19;25;11;30;16
34;Шарафутдинова Надежда Алексеевна;96.0;12;6;4;12;8;17;13;20;4
35;Шахматов Владимир Викторович;975.0;111;80;139;111;109;95;67;219;44
