;parameter;overall;УИК №318;УИК №319;УИК №320;УИК №321;УИК №322;УИК №323;УИК №324;УИК №325;УИК №326;УИК №327;УИК №328
1;Число избирателей, внесенных в список;27303.0;2313;2775;2159;2276;2322;2446;2695;2563;2730;2756;2268
2;Число бюллетеней, полученных участковой комиссией;19700.0;1700;2000;1600;1600;1700;1800;1900;1800;2000;2000;1600
3;Число бюллетеней, выданных избирателям в помещении для голосования;2788.0;241;219;226;266;244;273;298;282;313;232;194
4;Число бюллетеней, выданных избирателям, проголосовавшим досрочно;35.0;2;6;0;2;2;0;3;9;2;3;6
5;Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования;264.0;31;28;20;40;23;15;23;22;22;25;15
6;Число погашенных бюллетеней;16648.0;1428;1753;1354;1294;1433;1512;1579;1496;1665;1743;1391
7;Число бюллетеней в переносных ящиках для голосования;264.0;31;28;20;40;23;15;23;22;22;25;15
8;Число бюллетеней в стационарных ящиках для голосования;2795.0;241;224;226;268;242;263;300;282;315;234;200
9;Число недействительных бюллетеней;131.0;14;18;12;16;9;9;12;16;11;5;9
10;Число действительных бюллетеней;2928.0;258;234;234;292;256;269;311;288;326;254;206
11;Число утраченных бюллетеней;0.0;0;0;0;0;0;0;0;0;0;0;0
12;Число бюллетеней, не учтенных при получении;0.0;0;0;0;0;0;0;0;0;0;0;0
