;name;overall;УИК №1771;УИК №1772;УИК №1773;УИК №1774;УИК №1775;УИК №1776;УИК №1777;УИК №1778;УИК №1779;УИК №1780
14;Аверина Алена Дмитриевна;529.0;41;61;41;10;50;53;29;64;147;33
15;Алексеев Юрий Викторович;124.0;17;12;9;4;15;11;5;18;13;20
16;Артемов Алексей Анатольевич;514.0;32;20;64;18;37;55;31;63;94;100
17;Ашуров Дмитрий Константинович;57.0;3;3;4;3;5;5;0;10;12;12
18;Блинова Анна Николаевна;517.0;40;57;41;6;55;50;34;58;145;31
19;Буянов Владимир Петрович;590.0;48;34;75;20;49;72;26;56;104;106
20;Граськин Сергей Сергеевич;607.0;47;35;69;18;62;75;27;59;105;110
21;Гречко Артем Александрович;101.0;14;15;12;2;12;11;0;7;14;14
22;Елагин Станислав Александрович;650.0;104;104;73;23;48;123;33;52;39;51
23;Залищак Владимир Борисович;653.0;125;101;62;21;44;135;12;57;45;51
24;Зельдин Михаил Леонидович;202.0;16;28;10;1;10;67;4;31;16;19
25;Карпухин Сергей Николаевич;195.0;23;23;27;4;16;30;6;22;19;25
26;Картышова Марина Сергеевна;611.0;42;34;72;20;53;68;33;63;101;125
27;Крапухин Алексей Игоревич;521.0;81;90;62;24;31;89;25;43;32;44
28;Крылова Наталья Владимировна;139.0;6;5;5;2;10;14;46;16;22;13
29;Лебедев Андрей Владимирович;191.0;27;35;20;9;18;34;7;14;10;17
30;Лихачев Клим Сергеевич;462.0;21;48;37;6;40;43;37;51;163;16
31;Маслов Денис Дмитриевич;324.0;16;38;21;4;31;23;17;35;125;14
32;Матевосян Ламара Агароновна;55.0;8;7;4;1;3;8;1;4;12;7
33;Морева Лариса Николаевна;581.0;88;100;60;20;36;95;58;43;34;47
34;Мороз Николай Анатольевич;129.0;9;11;9;1;12;22;10;19;28;8
35;Мочалкина-Черновская Анна Леонидовна;359.0;26;38;28;4;28;24;21;40;137;13
36;Николаева Екатерина Николаевна;588.0;47;33;70;20;57;80;29;55;99;98
37;Русаков Григорий Александрович;176.0;12;10;16;6;12;20;51;15;16;18
38;Сафонов Александр Александрович;72.0;9;6;3;0;7;11;4;9;7;16
39;Шурыгин Николай Львович;255.0;25;37;21;1;19;61;3;55;18;15
40;Щербакова Ольга Александровна;98.0;7;11;10;1;7;9;4;16;18;15
