;parameter;overall;УИК №2549;УИК №2550;УИК №2551;УИК №2552;УИК №2565
1;Число избирателей, внесенных в список;8802.0;1958;1616;1481;1905;1842
2;Число бюллетеней, полученных участковой комиссией;6400.0;1400;1200;1100;1400;1300
3;Число бюллетеней, выданных избирателям в помещении для голосования;1651.0;433;305;244;374;295
4;Число бюллетеней, выданных избирателям, проголосовавшим досрочно;73.0;23;14;8;23;5
5;Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования;117.0;29;22;13;22;31
6;Число погашенных бюллетеней;4632.0;938;873;843;1004;974
7;Число бюллетеней в переносных ящиках для голосования;117.0;29;22;13;22;31
8;Число бюллетеней в стационарных ящиках для голосования;1724.0;456;319;252;397;300
9;Число недействительных бюллетеней;23.0;7;5;6;2;3
10;Число действительных бюллетеней;1818.0;478;336;259;417;328
11;Число утраченных бюллетеней;0.0;0;0;0;0;0
12;Число бюллетеней, не учтенных при получении;0.0;0;0;0;0;0
