;name;overall;УИК №2558;УИК №2559;УИК №2560;УИК №2561;УИК №2562
14;Бочкарев Василий Александрович;71.0;13;21;19;16;2
15;Брежнев Андрей Юрьевич;405.0;72;73;81;129;50
16;Егоров Алексей Олегович;127.0;20;59;10;22;16
17;Егоров Владимир Владимирович;487.0;139;102;73;96;77
18;Захарова Инна Валерьевна;391.0;41;174;44;55;77
19;Каров Кирилл Николаевич;83.0;20;20;16;16;11
20;Киселев Михаил Александрович;38.0;9;8;11;9;1
21;Крючков Олег Александрович;388.0;54;129;41;71;93
22;Меньшиков Михаил Васильевич;593.0;188;152;85;101;67
23;Ниниченко Вячеслав Иванович;336.0;91;63;64;79;39
24;Рубальская Лариса Алексеевна;556.0;126;114;118;135;63
25;Ульяненко Ирина Анатольевна;518.0;190;122;67;87;52
26;Фролова Мария Валерьевна;422.0;54;105;51;88;124
