;name;overall;УИК №44;УИК №45;УИК №46;УИК №47;УИК №48
14;Абдуллин Станислав Александрович;94.0;16;12;18;24;24
15;Балаш Валентин Станиславович;121.0;24;20;36;21;20
16;Баталин Геннадий Андреевич;105.0;27;22;30;15;11
17;Беликов Станислав Сергеевич;134.0;33;21;23;21;36
18;Бесько Ирина Владимировна;964.0;267;180;197;171;149
19;Борисенков Владимир Васильевич;270.0;64;40;58;34;74
20;Востриков Андрей Викторович;959.0;261;171;197;168;162
21;Девятый Юрий Иванович;97.0;25;10;17;25;20
22;Дюков Максим Александрович;65.0;14;9;13;13;16
23;Евлапова Наталья Владимировна;919.0;255;169;212;158;125
24;Емельянов Павел Александрович;905.0;268;175;196;144;122
25;Кирилина Наталья Николаевна;342.0;49;46;90;44;113
26;Кузнецов Владимир Сергеевич;233.0;41;40;58;32;62
27;Масленникова Алиса Константиновна;185.0;42;35;47;22;39
28;Матвеев Николай Петрович;1131.0;313;222;234;189;173
29;Минаев Данил Ильясович;630.0;111;105;174;86;154
30;Могилан Кристина Юрьевна;107.0;35;24;16;11;21
31;Николаев Дмитрий Сергеевич;72.0;13;6;19;20;14
32;Островский Григорий Андреевич;669.0;108;118;180;81;182
33;Петрухин Дмитрий Иванович;84.0;20;18;16;6;24
34;Прошина Наталья Сергеевна;82.0;26;9;12;11;24
35;Псарёв Александр Игоревич;450.0;63;85;123;68;111
36;Пудов Денис Евгеньевич;75.0;16;9;18;15;17
37;Савельев Анатолий Сергеевич;169.0;28;25;41;30;45
38;Смирнова Анна Юрьевна;636.0;104;111;167;79;175
39;Тарасенкова Анна Викторовна;222.0;51;32;58;36;45
40;Усов Роман Валерьевич;720.0;114;118;182;98;208
