;name;overall;УИК №329;УИК №330;УИК №331;УИК №332;УИК №333;УИК №334;УИК №335;УИК №336;УИК №337;УИК №338;УИК №339
14;Абдулина Любовь Павловна;1412.0;127;116;144;122;132;119;120;131;165;140;96
15;Алейникова Виктория Викторовна;527.0;54;56;57;49;75;47;0;48;54;49;38
16;Веретенцев Дмитрий Владимирович;353.0;42;37;41;26;38;37;1;22;44;37;28
17;Виноградов Олег Дмитриевич;1396.0;132;116;138;121;141;132;119;119;157;133;88
18;Гусев Юрий Андреевич;530.0;83;51;66;47;36;47;0;53;57;57;33
19;Козлов Дмитрий Валентинович;1099.0;94;89;111;95;101;85;120;102;123;105;74
20;Кулаков Валерий Борисович;1110.0;90;89;121;92;93;87;120;105;129;112;72
21;Лопарева Тамара Михайловна;428.0;40;31;39;45;44;49;0;53;33;46;48
22;Мацуй Николай Васильевич;374.0;55;34;44;32;25;31;0;49;39;29;36
23;Морозова Елена Александровна;442.0;72;45;49;39;32;46;0;45;44;34;36
24;Петров Олег Олегович;607.0;68;47;54;61;89;57;0;65;43;61;62
25;Пчелинцев Борис Васильевич;198.0;32;13;24;13;17;24;0;18;14;22;21
26;Рыбаков Василий Борисович;380.0;39;26;52;35;34;38;0;35;35;44;42
27;Федосеев Алексей Августович;976.0;72;73;102;87;91;68;120;88;111;93;71
28;Фролова Наталия Евгеньевна;314.0;32;22;20;33;30;26;0;34;34;41;42
29;Чевер Святослав Святославович;539.0;60;45;40;52;66;38;0;61;49;67;61
30;Шаульская Елена Михайловна;500.0;70;40;57;43;38;47;0;59;56;47;43
31;Штыркова Елена Юрьевна;504.0;59;36;58;52;34;43;0;51;69;57;45
