;parameter;overall;УИК №329;УИК №330;УИК №331;УИК №332;УИК №333;УИК №334;УИК №335;УИК №336;УИК №337;УИК №338;УИК №339
1;Число избирателей, внесенных в список;26845.0;2515;2402;2603;2610;2525;2631;121;2769;2934;2835;2900
2;Число бюллетеней, полученных участковой комиссией;19325.0;1800;1700;1900;1900;1800;1900;125;2000;2100;2000;2100
3;Число бюллетеней, выданных избирателям в помещении для голосования;2845.0;268;249;313;256;297;270;59;277;302;303;251
4;Число бюллетеней, выданных избирателям, проголосовавшим досрочно;20.0;5;1;1;6;2;0;0;0;1;3;1
5;Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования;440.0;32;43;30;42;39;22;62;49;55;39;27
6;Число погашенных бюллетеней;16040.0;1500;1408;1557;1602;1464;1608;4;1674;1743;1658;1822
7;Число бюллетеней в переносных ящиках для голосования;440.0;32;43;30;42;39;22;62;49;55;39;27
8;Число бюллетеней в стационарных ящиках для голосования;2861.0;273;250;314;262;297;270;59;276;303;305;252
9;Число недействительных бюллетеней;124.0;7;12;13;10;10;17;1;16;14;16;8
10;Число действительных бюллетеней;3177.0;298;281;331;294;326;275;120;309;344;328;271
11;Число утраченных бюллетеней;0.0;0;0;0;0;0;0;0;0;0;0;0
12;Число бюллетеней, не учтенных при получении;0.0;0;0;0;0;0;0;0;0;0;0;0
