;parameter;overall;УИК №2188;УИК №2189;УИК №2190;УИК №2191;УИК №2192;УИК №2193;УИК №2199;УИК №2200;УИК №2201;УИК №2202;УИК №2203
1;Число избирателей, внесенных в список;24302.0;2329;2408;2333;2384;2563;2675;959;2289;2099;2008;2255
2;Число бюллетеней, полученных участковой комиссией;17300.0;1650;1700;1650;1700;1800;1900;700;1650;1500;1450;1600
3;Число бюллетеней, выданных избирателям в помещении для голосования;3241.0;340;419;333;316;353;320;152;265;220;264;259
4;Число бюллетеней, выданных избирателям, проголосовавшим досрочно;60.0;13;9;3;3;6;2;8;6;3;4;3
5;Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования;190.0;18;40;24;14;12;27;4;16;15;17;3
6;Число погашенных бюллетеней;13869.0;1292;1241;1293;1370;1435;1553;544;1369;1265;1169;1338
7;Число бюллетеней в переносных ящиках для голосования;190.0;18;40;24;14;12;27;4;16;15;17;3
8;Число бюллетеней в стационарных ящиках для голосования;3294.0;353;427;336;319;353;322;160;271;223;268;262
9;Число недействительных бюллетеней;104.0;4;13;12;4;24;11;7;5;11;12;1
10;Число действительных бюллетеней;3380.0;367;454;348;329;341;338;157;282;227;273;264
11;Число утраченных бюллетеней;0.0;0;0;0;0;0;0;0;0;0;0;0
12;Число бюллетеней, не учтенных при получении;0.0;0;0;0;0;0;0;0;0;0;0;0
