;name;overall;УИК №2179;УИК №2180;УИК №2181;УИК №2182;УИК №2183;УИК №2194;УИК №2195;УИК №2196;УИК №2197;УИК №2198
14;Ганьшина Александра Евгеньевна;190.0;15;25;11;17;25;19;20;14;22;22
15;Голованов Максим Александрович;239.0;31;22;28;17;31;13;15;25;33;24
16;Гришин Антон Андреевич;916.0;102;85;131;83;77;71;62;78;133;94
17;Гурьянов Сергей Александрович;123.0;15;15;9;17;14;10;12;7;12;12
18;Дараган Димитрий Юрьевич;274.0;43;23;28;24;42;14;17;23;34;26
19;Евченко Дмитрий Игоревич;150.0;14;17;7;20;22;14;12;3;25;16
20;Егорычева Валентина Сергеевна;688.0;78;61;71;64;77;77;55;67;89;49
21;Елагин Сергей Александрович;360.0;40;34;36;32;48;25;25;38;45;37
22;Жданова Марина Аркадьевна;646.0;68;50;66;63;70;69;54;63;94;49
23;Жильцов Сергей Алексеевич;116.0;14;12;8;13;16;10;10;11;13;9
24;Завьялов Михаил Михайлович;118.0;17;9;9;11;9;13;8;14;15;13
25;Замятин Александр Андреевич;1064.0;106;97;166;116;107;82;65;72;136;117
26;Иванов Михаил Сергеевич;1048.0;142;88;142;109;90;78;68;76;152;103
27;Игнаткин Тихон Викторович;264.0;31;37;34;28;21;21;13;15;40;24
28;Карпушин Артур Александрович;114.0;16;18;6;15;11;6;7;10;13;12
29;Лапшов Алексей Сергеевич;101.0;20;7;14;8;6;9;11;9;8;9
30;Лукьяненко Алексей Владимирович;776.0;84;72;120;83;65;51;49;53;98;101
31;Макеева Ирина Юрьевна;198.0;26;20;24;20;13;12;10;22;29;22
32;Максимов Павел Владимирович;223.0;37;18;26;17;19;11;18;25;33;19
33;Обухова Люция Султановна;168.0;17;16;16;18;21;5;14;14;25;22
34;Пархоменко Оксана Анатольевна;520.0;57;36;59;53;51;57;42;62;62;41
35;Раззакова Екатерина Андреевна;551.0;73;43;59;51;74;55;45;60;58;33
36;Старых Анастасия Игоревна;138.0;15;22;15;8;15;10;8;14;19;12
37;Стогова Ольга Николаевна;256.0;23;27;21;27;28;20;29;23;28;30
38;Суходровский Андрей Дмитриевич;629.0;67;42;70;57;84;72;46;61;82;48
39;Чернышева Наталья Юрьевна;1095.0;119;106;135;136;100;81;76;81;147;114
