;name;overall;УИК №1788;УИК №1789;УИК №1812;УИК №1813;УИК №1814;УИК №1815;УИК №1816;УИК №1817;УИК №1818;УИК №1819
14;Андреев Александр Кириллович;852.0;114;76;116;80;86;76;76;78;96;54
15;Артеменко Андрей Анатольевич;1147.0;121;59;85;98;152;139;159;134;136;64
16;Баллеева Тамара Сергеевна;206.0;16;23;28;11;31;14;18;28;18;19
17;Василевский Сергей Сергеевич;276.0;38;29;37;18;31;25;31;27;23;17
18;Герасимова Тамара Николаевна;1246.0;160;83;72;107;146;151;176;145;135;71
19;Ефимов Андрей Георгиевич;1187.0;137;71;86;97;141;146;164;143;124;78
20;Жаворонкова Маргарита Александровна;326.0;56;46;37;25;30;25;23;33;38;13
21;Жгулев Олег Владимирович;251.0;39;34;36;20;22;20;23;23;15;19
22;Монахов Александр Сергеевич;444.0;63;45;80;42;43;23;30;50;29;39
23;Перфильев Николай Петрович;335.0;51;35;38;31;25;29;36;30;40;20
24;Пушкин Павел Павлович;1496.0;186;88;107;135;161;189;236;141;139;114
25;Рамазанова Таслима Камилевна;384.0;46;46;76;27;46;11;31;37;36;28
26;Филатова Валентина Владимировна;1372.0;169;94;92;104;151;170;184;182;151;75
27;Халтурин Евгений Евгеньевич;108.0;15;11;10;9;16;3;10;16;9;9
28;Цай Анастасия Юрьевна;328.0;43;37;48;27;31;27;31;29;37;18
29;Четайкин Виктор Викторович;150.0;25;20;14;12;13;7;11;18;21;9
30;Шведов-Виардо Дмитрий Александрович;199.0;29;26;30;22;25;11;13;13;21;9
