;name;overall;УИК №1801;УИК №1802;УИК №1803;УИК №1804;УИК №1805;УИК №1806;УИК №1807;УИК №1808;УИК №1809;УИК №1810;УИК №1811
14;Анисимова Светлана Геннадьевна;421.0;30;9;38;65;45;39;24;39;40;44;48
15;Асланьян Дарья Евгеньевна;279.0;13;2;14;37;24;30;21;40;27;30;41
16;Батадеев Виктор Александрович;404.0;18;11;38;47;33;37;25;64;52;39;40
17;Владимиров Максим Валентинович;1460.0;175;78;131;136;107;117;111;129;126;217;133
18;Гугуцидзе Александр Сергеевич;1277.0;153;77;115;105;101;86;98;116;98;223;105
19;Золкина Ирина Вячеславовна;1485.0;184;85;140;131;117;96;120;137;127;234;114
20;Иванов Денис Анатольевич;307.0;28;16;38;40;30;27;23;30;29;21;25
21;Комарова Татьяна Васильевна;368.0;29;12;43;40;36;28;17;58;32;28;45
22;Кондауров Алексей Игоревич;171.0;11;6;11;19;21;14;8;20;20;14;27
23;Королева Лидия Валерьевна;357.0;20;10;35;39;34;22;24;37;30;48;58
24;Огнев Егор Михайлович;236.0;22;9;25;35;23;18;17;29;22;13;23
25;Рогов Роман Игоревич;292.0;18;5;39;26;38;22;32;31;34;13;34
26;Сайботалов Анатолий Александрович;152.0;15;7;15;18;13;13;16;19;13;11;12
27;Семёнов Дмитрий Витальевич;1422.0;157;101;120;119;104;89;118;134;126;251;103
28;Шестакова Дина Валентиновна;1523.0;217;107;187;156;154;95;105;151;99;148;104
29;Шленский Никита Владимирович;258.0;21;8;29;36;38;30;16;21;24;7;28
