;name;overall;УИК №990;УИК №991;УИК №1016;УИК №1017;УИК №1018;УИК №1019;УИК №1020;УИК №1021;УИК №1022;УИК №1023;УИК №1024;УИК №1025
14;Башуткин Дмитрий Валериевич;213.0;18;18;27;26;12;16;11;18;13;19;19;16
15;Богатов Вадим Евгеньевич;791.0;57;61;76;77;53;115;44;56;53;69;72;58
16;Борисова Светлана Георгиевна;756.0;71;65;97;90;75;73;42;54;23;54;66;46
17;Губернаторов Марк Владимирович;139.0;14;16;7;17;13;9;10;11;14;10;11;7
18;Гуварьян Арсен Погосович;603.0;58;49;71;77;48;54;32;40;22;40;75;37
19;Дерень Андрей Михайлович;548.0;28;32;52;60;38;50;21;46;68;40;76;37
20;Зубарь Андрей Николаевич;154.0;11;10;12;14;13;11;11;13;12;14;20;13
21;Иркисова Жанна Геннадьевна;553.0;42;48;41;59;42;88;28;45;25;48;51;36
22;Киреев Александр Андреевич;267.0;22;22;31;31;21;24;14;14;10;25;33;20
23;Королькова Наталия Олеговна;699.0;53;56;66;69;58;101;45;48;47;51;67;38
24;Кузин Дмитрий Львович;509.0;41;31;66;52;34;52;37;45;25;46;48;32
25;Малышева Наталья Михайловна;373.0;30;24;24;30;45;46;42;18;15;31;41;27
26;Мжельский Александр Александрович;315.0;24;27;28;39;33;29;23;28;11;33;24;16
27;Мизонов Юрий Александрович;1431.0;104;131;130;120;93;118;91;103;215;99;124;103
28;Огаркова Светлана Владимировна;1456.0;113;150;148;144;92;119;93;94;201;100;115;87
29;Петухова Татьяна Анатольевна;1362.0;101;131;142;115;92;104;88;100;198;101;99;91
30;Проскуркина Галина Сергеевна;330.0;26;23;37;26;29;28;28;35;15;31;32;20
31;Садковский Максим Валентинович;196.0;18;15;18;17;19;15;18;8;11;17;22;18
32;Светлова Татьяна Анатольевна;1428.0;88;113;139;127;108;124;98;104;210;94;109;114
33;Свидерский Арсений Андреевич;601.0;36;52;56;42;60;62;43;45;32;52;74;47
34;Сушкин Вадим Анатольевич;139.0;15;7;13;13;10;13;10;6;12;12;14;14
35;Тернавский Алексей Петрович;1506.0;101;123;140;129;94;130;119;106;227;106;117;114
36;Фадеева Ольга Викторовна;784.0;71;79;93;88;65;78;38;51;34;63;82;42
