;parameter;overall;УИК №992;УИК №993;УИК №994;УИК №995;УИК №996;УИК №997;УИК №998;УИК №999;УИК №1000;УИК №1001;УИК №1002
1;Число избирателей, внесенных в список;25696.0;2372;2362;2444;2405;2394;2083;2392;2429;2437;2413;1965
2;Число бюллетеней, полученных участковой комиссией;20000.0;1900;1800;1900;1900;1800;1600;1900;1900;1900;2000;1400
3;Число бюллетеней, выданных избирателям в помещении для голосования;3498.0;387;332;288;294;337;267;430;313;311;319;220
4;Число бюллетеней, выданных избирателям, проголосовавшим досрочно;9.0;1;1;3;1;0;0;2;1;0;0;0
5;Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования;226.0;32;17;22;34;44;5;15;12;18;17;10
6;Число погашенных бюллетеней;16276.0;1481;1451;1590;1572;1419;1328;1455;1575;1571;1664;1170
7;Число бюллетеней в переносных ящиках для голосования;226.0;32;17;22;34;44;5;15;12;18;17;10
8;Число бюллетеней в стационарных ящиках для голосования;3505.0;387;333;291;295;337;267;432;314;310;319;220
9;Число недействительных бюллетеней;117.0;1;10;8;12;15;11;13;11;15;11;10
10;Число действительных бюллетеней;3614.0;418;340;305;317;366;261;434;315;313;325;220
11;Число утраченных бюллетеней;0.0;0;0;0;0;0;0;0;0;0;0;0
12;Число бюллетеней, не учтенных при получении;0.0;0;0;0;0;0;0;0;0;0;0;0
