;name;overall;УИК №1026;УИК №1027;УИК №1028;УИК №1030;УИК №1031;УИК №1032;УИК №1033;УИК №1034;УИК №1035;УИК №1036;УИК №1037;УИК №1038
14;Ахапкина Екатерина Валерьевна;911.0;23;57;100;41;79;100;60;68;84;139;62;98
15;Батлук Александр Викторович;723.0;29;46;90;54;74;60;34;78;82;54;52;70
16;Гожин Виктор Васильевич;1267.0;76;110;115;157;108;105;63;110;137;86;90;110
17;Ерофеев Дмитрий Леонидович;505.0;16;27;45;29;38;55;20;51;46;92;37;49
18;Карданец Сергей Григорьевич;822.0;32;40;77;62;73;76;47;88;79;72;74;102
19;Кобаладзе Ярослав Сергеевич;147.0;4;11;10;18;16;17;9;13;10;16;12;11
20;Кустов Алексей Евгеньевич;462.0;12;35;47;36;32;33;31;57;45;28;36;70
21;Левин Станислав Леонидович;606.0;13;40;54;63;34;49;42;65;57;41;58;90
22;Максимов Виктор Алексеевич;511.0;41;43;35;47;40;28;26;46;62;35;43;65
23;Марченко Александр Анатольевич;516.0;22;53;65;27;38;40;28;50;42;42;32;77
24;Мингазеева Таскиря Фаруковна;970.0;55;91;95;106;121;84;49;73;90;78;71;57
25;Митин Александр Константинович;387.0;18;24;32;33;29;38;24;37;24;71;24;33
26;Муралова Анастасия Игоревна;922.0;37;42;110;71;89;103;54;89;86;80;63;98
27;Назаренко Василий Александрович;161.0;11;16;13;18;14;13;6;17;14;12;9;18
28;Наконечная Людмила Валерьевна;911.0;48;68;94;89;86;82;49;89;86;76;65;79
29;Никитина Илона Олеговна;454.0;16;29;42;29;31;33;22;41;49;50;51;61
30;Романова Маргарита Викторовна;582.0;18;30;57;27;48;38;60;33;50;106;50;65
31;Серенов Иван Иванович;224.0;9;16;18;23;25;21;15;23;16;24;12;22
