;name;overall;УИК №1050;УИК №1051;УИК №1052;УИК №1053;УИК №1054;УИК №1055;УИК №1056;УИК №1057;УИК №1058;УИК №1059
14;Алексеев Дмитрий Николаевич;173.0;12;18;12;19;21;22;7;11;33;18
15;Астафьев Алексей Александрович;301.0;29;31;23;33;32;45;20;20;41;27
16;Вишницкая Светлана Сергеевна;358.0;33;33;60;22;38;32;22;42;34;42
17;Волков Сергей Борисович;297.0;25;15;34;61;28;43;11;17;34;29
18;Вяхорев Антон Викторович;498.0;42;31;52;38;57;69;26;42;69;72
19;Демичев Василий Анатольевич;455.0;42;39;58;46;59;48;29;38;29;67
20;Жданов Сергей Владимирович;657.0;48;41;85;59;52;67;50;155;42;58
21;Ждановская Евгения Семеновна;366.0;20;20;33;139;28;39;19;20;27;21
22;Загордан Надежда Леонидовна;1502.0;163;157;145;142;202;165;88;132;152;156
23;Киреев Андрей Николаевич;257.0;28;21;25;22;19;42;19;27;32;22
24;Костылев Богдан Сергеевич;914.0;124;119;76;85;130;101;54;76;85;64
25;Мирошниченко Андрей Борисович;1131.0;137;141;106;115;146;122;75;101;93;95
26;Насонов Александр Владимирович;135.0;22;11;8;16;9;19;15;9;15;11
27;Низамов Ильдар Ниязович;560.0;36;26;58;44;48;95;42;110;47;54
28;Николаева Лариса Сергеевна;627.0;49;37;68;58;67;71;45;110;59;63
29;Новокшонов Павел Викторович;627.0;92;80;50;66;99;46;28;48;55;63
30;Перепелов Андрей Львович;352.0;30;30;37;34;39;67;24;36;25;30
31;Попов Александр Валерьевич;668.0;73;35;76;58;57;93;46;110;48;72
32;Степанов Павел Юрьевич;289.0;36;19;37;39;20;64;17;17;19;21
33;Тригубенко Ольга Юрьевна;205.0;29;15;26;19;16;35;24;10;18;13
34;Фетисов Андрей Иванович;484.0;37;38;40;83;49;66;28;40;40;63
35;Хамраев Николай Тахирович;166.0;12;12;22;19;19;28;9;13;10;22
36;Холдин Александр Васильевич;313.0;47;21;30;56;25;71;12;10;17;24
37;Черноков Сергей Семенович;323.0;23;12;32;44;28;51;15;9;40;69
