;name;overall;УИК №1336;УИК №1337;УИК №1339;УИК №1340;УИК №1341
14;Акимова Надежда Александровна;91.0;5;35;19;7;25
15;Бардина Надежда Федоровна;154.0;10;42;42;30;30
16;Безпалый Виктор Юрьевич;70.0;3;26;17;3;21
17;Борисов Денис Олегович;116.0;3;43;31;13;26
18;Ведруссов Александр Владимирович;149.0;4;49;37;24;35
19;Голеусов Алексей Игоревич;113.0;1;35;37;17;23
20;Голубев Александр Анатольевич;109.0;6;41;22;12;28
21;Капичников Владимир Васильевич;625.0;26;223;158;122;96
22;Колесникова Елена Витальевна;680.0;28;251;174;119;108
23;Костюченко Евгений Александрович;67.0;6;20;16;9;16
24;Круглова Тамара Васильевна;592.0;20;195;195;97;85
25;Кубасова Татьяна Ивановна;71.0;8;22;14;9;18
26;Куликова Мария Борисовна;555.0;23;168;138;96;130
27;Ли Михаил Владимирович;79.0;6;21;26;9;17
28;Орлов Алексей Анатольевич;592.0;32;212;160;107;81
29;Сапожников Вячеслав Анатольевич;570.0;27;210;152;107;74
30;Сивкова Алена Сергеевна;130.0;3;40;24;33;30
31;Таказова Мария Геннадьевна;35.0;4;12;5;1;13
32;Танвель Владислав Андреевич;112.0;7;49;26;13;17
33;Цупко Валерий Владимирович;123.0;5;40;26;27;25
34;Червинский Илья Романович;147.0;6;52;43;28;18
35;Чунарев Сергей Петрович;45.0;5;15;9;4;12
36;Шадрина Надежда Александровна;213.0;17;59;46;47;44
