;parameter;overall;УИК №1336;УИК №1337;УИК №1339;УИК №1340;УИК №1341
1;Число избирателей, внесенных в список;8318.0;347;2609;2043;1357;1962
2;Число бюллетеней, полученных участковой комиссией;5910.0;250;1850;1450;960;1400
3;Число бюллетеней, выданных избирателям в помещении для голосования;1572.0;72;549;397;273;281
4;Число бюллетеней, выданных избирателям, проголосовавшим досрочно;15.0;1;9;3;2;0
5;Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования;68.0;4;24;15;13;12
6;Число погашенных бюллетеней;4270.0;174;1277;1038;674;1107
7;Число бюллетеней в переносных ящиках для голосования;68.0;4;24;15;13;12
8;Число бюллетеней в стационарных ящиках для голосования;1587.0;73;558;400;275;281
9;Число недействительных бюллетеней;91.0;2;40;21;16;12
10;Число действительных бюллетеней;1564.0;75;542;394;272;281
11;Число утраченных бюллетеней;0.0;0;0;0;0;0
12;Число бюллетеней, не учтенных при получении;0.0;0;0;0;0;0
