;parameter;overall;УИК №1338;УИК №1342;УИК №1343;УИК №1344
1;Число избирателей, внесенных в список;8065.0;2514;2210;1893;1448
2;Число бюллетеней, полученных участковой комиссией;5750.0;1800;1570;1350;1030
3;Число бюллетеней, выданных избирателям в помещении для голосования;1444.0;496;358;349;241
4;Число бюллетеней, выданных избирателям, проголосовавшим досрочно;8.0;2;0;4;2
5;Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования;73.0;25;10;20;18
6;Число погашенных бюллетеней;4232.0;1279;1201;981;771
7;Число бюллетеней в переносных ящиках для голосования;73.0;25;10;20;18
8;Число бюллетеней в стационарных ящиках для голосования;1452.0;498;358;353;243
9;Число недействительных бюллетеней;52.0;17;10;15;10
10;Число действительных бюллетеней;1473.0;506;358;358;251
11;Число утраченных бюллетеней;1.0;0;1;0;0
12;Число бюллетеней, не учтенных при получении;0.0;0;0;0;0
